name,price,price_per_gb,color,first_word_latency,cas_latency,total_capacity_gb,DDR_version,speed_mhz,num_modules,gb_per_module,capacity,latency,speed
TEAMGROUP T-Create Expert 32 GB,48.99,0.9930628010744333,Gray,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
G.Skill Trident Z Neo 32 GB,109.99,0.9719071192310254,Black / Silver,0.7805878332194123,0.7032967032967032,0.12156862745098039,4.0,0.42105263157894735,2,16,32,16.0,3600.0
Kingston FURY Beast 16 GB,71.98,0.9601194308167026,Black,0.4430773904458116,0.17582417582417575,0.058823529411764705,5.0,0.736842105263158,2,8,16,40.0,6000.0
Corsair Vengeance RGB Pro 16 GB,59.99,0.9684440695273825,Black,0.6962102225260121,0.6593406593406593,0.058823529411764705,4.0,0.42105263157894735,2,8,16,18.0,3600.0
Corsair Vengeance RGB 32 GB,99.99,0.9753701689346682,Black / Gray,0.4792283739652162,0.2637362637362637,0.12156862745098039,5.0,0.6842105263157894,2,16,32,36.0,5600.0
G.Skill Ripjaws V 32 GB,59.99,0.9892445667858015,Black,0.6962102225260121,0.6593406593406593,0.12156862745098039,4.0,0.42105263157894735,2,16,32,18.0,3600.0
Corsair Vengeance LPX 16 GB,39.99,0.9823184673785158,Black,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
Corsair Vengeance RGB 32 GB,114.99,0.970175594379204,White,0.28723323460165573,0.17582417582417575,0.12156862745098039,5.0,0.631578947368421,2,16,32,40.0,5200.0
G.Skill Trident Z RGB 64 GB,149.99,0.9840388927120562,Black,0.6962102225260121,0.6593406593406593,0.24705882352941178,4.0,0.42105263157894735,2,32,64,18.0,3600.0
G.Skill Flare X5 32 GB,104.99,0.9736386440828468,Black,0.6455532771322245,0.3516483516483516,0.12156862745098039,5.0,0.736842105263158,2,16,32,32.0,6000.0
Kingston FURY Beast RGB 32 GB,143.99,0.9601083312984217,Black,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
Corsair Vengeance 64 GB,166.99,0.981097520367616,Black,0.3706994759626341,0.17582417582417575,0.24705882352941178,5.0,0.6842105263157894,2,32,64,40.0,5600.0
Kingston FURY Beast 32 GB,74.98,0.9840499922303372,Black,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
G.Skill Ripjaws S5 32 GB,94.99,0.9771127933047705,Black,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
Corsair Vengeance RGB Pro 32 GB,99.99,0.9753701689346682,White,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
G.Skill Aegis 16 GB,37.99,0.983705907163629,Red / Black,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
G.Skill Trident Z5 RGB 48 GB,319.99,0.936066774701978,Black,0.6962102225260121,0.17582417582417575,0.1843137254901961,5.0,1.0,2,24,48,40.0,8000.0
Corsair Vengeance LPX 8 GB,24.99,0.9753812684529491,Black / Yellow,0.4430773904458116,0.7032967032967032,0.027450980392156862,4.0,0.2631578947368421,1,8,8,16.0,2400.0
Corsair Vengeance 64 GB,217.99,0.9722512042977335,Black / Gray,0.6962102225260121,0.3516483516483516,0.24705882352941178,5.0,0.7894736842105263,2,32,64,32.0,6400.0
Corsair Vengeance 32 GB,105.99,0.9732945590161387,Black / Gray,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
Corsair Dominator Platinum RGB 64 GB,264.99,0.9641041578795481,Black,0.4430773904458116,0.17582417582417575,0.24705882352941178,5.0,0.736842105263158,2,32,64,40.0,6000.0
G.Skill Ripjaws V 32 GB,74.98,0.9840499922303372,Black,0.772157666894509,0.6593406593406593,0.12156862745098039,4.0,0.47368421052631576,2,16,32,18.0,4000.0
Corsair Vengeance 32 GB,124.99,0.9667014451572802,Black,0.6962102225260121,0.3516483516483516,0.12156862745098039,5.0,0.7894736842105263,2,16,32,32.0,6400.0
Corsair Vengeance 32 GB,169.99,0.9510955224543255,Gray,0.7384370015948963,0.3076923076923077,0.12156862745098039,5.0,0.894736842105263,2,16,32,34.0,7200.0
Corsair Vengeance LPX 256 GB,694.99,0.9799209714298399,Black / Yellow,0.6962102225260121,0.6593406593406593,1.0,4.0,0.42105263157894735,8,32,256,18.0,3600.0
Kingston FURY Beast 32 GB,129.99,0.9649699203054587,Black,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
Corsair Dominator Platinum RGB 32 GB,139.99,0.961495771083535,Black,0.5737069947596265,0.2637362637362637,0.12156862745098039,5.0,0.763157894736842,2,16,32,36.0,6200.0
Corsair Vengeance 16 GB,69.99,0.9615068706018159,Black,0.28723323460165573,0.17582417582417575,0.058823529411764705,5.0,0.631578947368421,2,8,16,40.0,5200.0
TEAMGROUP T-Force Delta RGB 32 GB,99.99,0.9753701689346682,Black,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
Corsair Vengeance RGB Pro 32 GB,114.99,0.970175594379204,Black,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,4,8,32,16.0,3200.0
Corsair Vengeance 32 GB,89.99,0.978844318156592,Black,0.28723323460165573,0.17582417582417575,0.12156862745098039,5.0,0.631578947368421,2,16,32,40.0,5200.0
G.Skill Ripjaws S5 32 GB,108.99,0.9722512042977335,White,0.6962102225260121,0.39560439560439553,0.12156862745098039,5.0,0.736842105263158,2,16,32,30.0,6000.0
TEAMGROUP T-Force Delta RGB 32 GB,84.99,0.9805758430084134,Black,0.4936583883952306,0.21978021978021978,0.12156862745098039,5.0,0.736842105263158,2,16,32,38.0,6000.0
Kingston FURY Beast RGB 16 GB,53.0,0.9732945590161387,Black,0.6962102225260121,0.7032967032967032,0.058823529411764705,4.0,0.3684210526315789,2,8,16,16.0,3200.0
Crucial CT2K8G48C40U5 16 GB,39.99,0.9823184673785158,Black,0.18986861092124263,0.17582417582417575,0.058823529411764705,5.0,0.5789473684210527,2,8,16,40.0,4800.0
Kingston FURY Beast 8 GB,25.99,0.9739938286678358,Black,0.6962102225260121,0.7032967032967032,0.027450980392156862,4.0,0.3684210526315789,1,8,8,16.0,3200.0
G.Skill Aegis 32 GB,57.99,0.9899438364374986,Red / Black,0.6962102225260121,0.7032967032967032,0.12156862745098039,4.0,0.3684210526315789,2,16,32,16.0,3200.0
Corsair Vengeance RGB 32 GB,102.99,0.9743379137345439,Black,0.5443153337890181,0.2637362637362637,0.12156862745098039,5.0,0.736842105263158,2,16,32,36.0,6000.0
Corsair Vengeance RGB 32 GB,129.99,0.9649699203054587,Black / Gray,0.6962102225260121,0.3516483516483516,0.12156862745098039,5.0,0.7894736842105263,2,16,32,32.0,6400.0
G.Skill Ripjaws S5 64 GB,219.99,0.9719071192310254,Black,0.6962102225260121,0.39560439560439553,0.24705882352941178,5.0,0.736842105263158,2,32,64,30.0,6000.0
G.Skill Trident Z5 RGB 32 GB,236.99,0.9278531311741071,Black,0.7546138072453863,0.2637362637362637,0.12156862745098039,5.0,0.9736842105263159,2,16,32,36.0,7800.0
Kingston ValueRAM 1 GB,9.11,0.9089395520234422,Green,0.3170046327941065,0.945054945054945,0.0,2.0,0.035131578947368416,1,1,1,5.0,667.0
Kingston FURY Beast RGB 16 GB,90.98,0.9469443026172664,Black,0.4430773904458116,0.17582417582417575,0.058823529411764705,5.0,0.736842105263158,2,8,16,40.0,6000.0
