name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
EVGA 450 GD,,ATX,0.925531914893617,0.13513513513513514,0.0,Black,gold,False,450
SeaSonic PRIME Gold,,ATX,0.925531914893617,0.2972972972972973,1.0,,gold,Full,750
SHARKOON SilentStorm Icewind,,ATX,0.8723404255319148,0.2972972972972973,0.6000000000000001,White / Black,bronze,Semi,750
Cooler Master G450M,,ATX,0.8723404255319148,0.13513513513513514,0.6000000000000001,,bronze,Semi,450
Enermax REVOLUTION SFX,,SFX,0.925531914893617,0.24324324324324326,1.0,Black,gold,Full,650
Rosewill Lightning,,ATX,0.925531914893617,0.43243243243243246,0.6000000000000001,,gold,Semi,1000
SeaSonic VERTEX PX-750,,ATX,0.9574468085106382,0.2972972972972973,1.0,Black / Silver,platinum,Full,750
XFX Core Edition,,ATX,0.8723404255319148,0.2972972972972973,0.0,,bronze,False,750
SeaSonic FOCUS SGX,,SFX,0.925531914893617,0.1891891891891892,1.0,Black,gold,Full,550
Cougar CMX700V3,,ATX,0.8723404255319148,0.2702702702702703,0.6000000000000001,,bronze,Semi,700
SeaSonic S12II,,ATX,0.8723404255319148,0.2972972972972973,1.0,,bronze,Full,750
Antec High Current Pro,,ATX,0.925531914893617,0.2972972972972973,0.6000000000000001,,gold,Semi,750
be quiet! Straight Power 10 CM,,ATX,0.925531914893617,0.2702702702702703,0.6000000000000001,,gold,Semi,700
Linkworld LPG12-35-p4,,ATX,0.0,0.1891891891891892,0.0,,white,False,550
Cougar COUGAR-1000CMX,,ATX,0.8723404255319148,0.43243243243243246,0.0,,bronze,False,1000
SeaSonic Snow Silent,,ATX,0.9574468085106382,0.2972972972972973,1.0,,platinum,Full,750
Raidmax Cobra,,ATX,0.8723404255319148,0.10810810810810811,0.0,,bronze,False,400
Thermaltake Toughpower DPS G,,ATX,0.925531914893617,0.24324324324324326,1.0,,gold,Full,650
In Win IP-S300FF1-0,62.69,TFX,0.851063829787234,0.05405405405405406,0.0,,plus,False,300
Cougar GX-S,,ATX,0.925531914893617,0.24324324324324326,0.0,,gold,False,650
Thermaltake Toughpower iRGB PLUS 850 Platinum,,ATX,0.9574468085106382,0.35135135135135137,1.0,Black,platinum,Full,850
