name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity
Topower ZU-750W,,ATX,0.0,750,0.0,,white,False
Topower TOP-600WB,,ATX,82.0,600,0.0,,bronze,False
Topower TOP-400W80,,ATX,80.0,400,0.0,,plus,False
Enermax Platimax,,ATX,90.0,500,6.0,,platinum,Semi
FSP Group Twins,,ATX,87.0,700,0.0,,gold,False
Rosewill TOKAMAK 1200,,ATX,94.0,1200,10.0,,titanium,Full
Super Flower SF-750F14TG,,ATX,87.0,750,10.0,Black,gold,Full
Thermaltake Smart,,ATX,82.0,1000,6.0,,bronze,Semi
Silverstone Strider,,ATX,87.0,600,0.0,,gold,False
Raidmax RX-835AP,,ATX,82.0,835,6.0,,bronze,Semi
Athena Power AP-P4ATX95FEPC,,ATX,80.0,950,0.0,,plus,False
Athena Power AP-MPS3ATX30H,,ATX,0.0,300,0.0,,white,False
Cooler Master Silent Pro M2,,ATX,85.0,1500,6.0,,silver,Semi
Xigmatek ACXTNRP-PC402,,ATX,82.0,400,0.0,,bronze,False
XClio DIAMONDPOWER 1080W,,ATX,0.0,1080,0.0,,white,False
Enermax DIGIFANLESS,,ATX,90.0,550,10.0,,platinum,Full
Apevia ATX-AS680W-BK,,ATX,0.0,680,0.0,,white,False
Rosewill Fortress,,ATX,90.0,650,0.0,,platinum,False
XFX P1-750X-XXB9,,ATX,82.0,750,6.0,,bronze,Semi
PC Power & Cooling S47ATX-B,,ATX,0.0,470,0.0,,white,False
Kingwin Lazer,,ATX,82.0,1000,6.0,,bronze,Semi
Kingwin Mach 1,,ATX,82.0,1000,6.0,,bronze,Semi
PC Power & Cooling Silencer,,ATX,85.0,760,0.0,,silver,False
OCZ StealthXStream,,ATX,0.0,700,0.0,,white,False
LEPA P1375-MA,,ATX,90.0,1375,10.0,,platinum,Full
NZXT HALE82N 750W,,ATX,82.0,750,0.0,,bronze,False
In Win IP-P300BN7-2,,ATX,80.0,300,0.0,,plus,False
OCZ ZX,,ATX,87.0,850,6.0,,gold,Semi
FSP Group ATX350-PNT,,ATX,0.0,350,0.0,,white,False
CoolMax ZPG-500B,,ATX,87.0,500,0.0,,gold,False
Noua Hyper ZR55,,ATX,82.0,550,0.0,Black,bronze,False
Enermax MaxTytan,,ATX,94.0,1250,10.0,Black / Silver,titanium,Full
Thermaltake Toughpower Grand,,ATX,87.0,1050,0.0,,gold,False
PC Power & Cooling Silencer Mk II,,ATX,82.0,500,0.0,,bronze,False
Raidmax RX-535AP,,ATX,82.0,535,6.0,,bronze,Semi
Raidmax Cobra,,ATX,87.0,500,0.0,,gold,False
Thermaltake Toughpower XT,,ATX,82.0,650,10.0,,bronze,Full
XFX P1-450S-XXB9,,ATX,82.0,450,0.0,,bronze,False
RIOTORO ONYX 650,,ATX,82.0,650,6.0,,bronze,Semi
Rosewill SilentNight-500,,ATX,90.0,500,6.0,,platinum,Semi
FSP Group AURUM GOLD 500,,ATX,87.0,500,0.0,,gold,False
FSP Group AURUM GOLD 600,,ATX,87.0,600,0.0,,gold,False
Cooler Master Silent Pro Platinum,,ATX,90.0,550,6.0,,platinum,Semi
Anima APII500,,ATX,0.0,500,0.0,Black / Green,white,False
Enermax REVOLUTION DUO,,ATX,87.0,600,0.0,,gold,False
Rosewill G650,,ATX,87.0,650,6.0,,gold,Semi
Enermax REVOLUTION SFX,,SFX,87.0,550,10.0,,gold,Full
G.Skill PS1250P,,ATX,90.0,1250,10.0,Black,platinum,Full
FSP Group AURUM 92+,,ATX,90.0,650,6.0,,platinum,Semi
LEPA MaxBron,,ATX,82.0,450,6.0,,bronze,Semi
LEPA MX-F1,,ATX,0.0,400,0.0,,white,False
Kingwin ABT-750MM,,ATX,0.0,750,0.0,,white,False
Fractal Design Tesla R2,,ATX,87.0,1000,0.0,,gold,False
XFX ProSeries,,ATX,85.0,850,6.0,,silver,Semi
Cougar CMX850V3,,ATX,82.0,850,6.0,,bronze,Semi
