name,price,socket,form_factor,max_memory,memory_slots,color,manufacturer,chipset
Asus ROG STRIX H470-I GAMING,,LGA1200,Mini ITX,64,2,Black,Asus,H470
MSI H410M PRO-VH,,LGA1200,Micro ATX,64,2,Black / Silver,MSI,H410
Biostar A32M2,,AM4,Micro ATX,32,2,Black,Biostar,
Asus Pro H610M-C-CSM,,LGA1700,Micro ATX,64,2,Green / Black,Asus,H610
Gigabyte Q570M D3H,,LGA1200,Micro ATX,128,4,Black,Gigabyte,
MSI Z590 PRO WIFI (CEC),,LGA1200,ATX,128,4,Black / Silver,MSI,Z590
Gigabyte A620M H (rev. 1.0),,AM5,Micro ATX,96,2,Black,Gigabyte,A620
ASRock Z590 Taichi,456.86,LGA1200,ATX,128,4,Black / Silver,ASRock,Z590
Asus TUF GAMING B650M-E WIFI,,AM5,Micro ATX,128,4,Black,Asus,B650
Supermicro X10SLM-F-O,328.2,LGA1150,Micro ATX,32,4,Black / Green,Supermicro,
ASRock X370 GAMING X,299.99,AM4,ATX,64,4,Black / Red,ASRock,X370
ASRock H470 Steel Legend,,LGA1200,ATX,128,4,Black / Silver,ASRock,H470
MSI PRO B660M-B,,LGA1700,Micro ATX,64,2,Black / Silver,MSI,B660
Asus Crosshair IV Formula,,AM3,ATX,16,4,Black / Red,Asus,
MSI X58 Pro-E,,LGA1366,ATX,24,6,Black / Blue,MSI,X58
Asus P8H61-M (REV 3.0),,LGA1155,Micro ATX,16,2,,Asus,H61
Gigabyte GA-Z68A-D3H-B3,,LGA1155,ATX,32,4,Blue / White,Gigabyte,Z68
ASRock Z68 Extreme4 Gen3,,LGA1155,ATX,32,4,,ASRock,Z68
MSI 760GM-P21 (FX),,AM3+,Micro ATX,16,2,Black / Blue,MSI,
MSI H77MA-G43,,LGA1155,Micro ATX,32,4,Black / Blue,MSI,H77
MSI H61M-P31 (G3),,LGA1155,Micro ATX,16,2,Black / Blue,MSI,H61
ASRock 960GM/U3S3 FX,,AM3+,Micro ATX,16,2,Black / Blue,ASRock,
Asus H87M-PRO,,LGA1150,Micro ATX,32,4,Black / Gold,Asus,H87
ASRock Z87E-ITX,,LGA1150,Mini ITX,16,2,Black / Silver,ASRock,Z87
MSI Z87 MPOWER,,LGA1150,ATX,32,4,Black / Yellow,MSI,Z87
Asus Maximus VI Extreme,,LGA1150,ATX,32,4,Black / Red,Asus,
Biostar H61MGV3,,LGA1155,Micro ATX,16,2,Black / Red,Biostar,H61
ASRock Fatal1ty Z87 Killer,,LGA1150,ATX,32,4,,ASRock,Z87
Gigabyte GA-F2A88XN-WIFI,,FM2+,Mini ITX,64,2,,Gigabyte,A88
Asus CROSSBLADE RANGER,,FM2+,ATX,64,4,Black / Red,Asus,
Asus MAXIMUS VII IMPACT,,LGA1150,Mini ITX,16,2,Black / Red,Asus,
Gigabyte GA-F2A68HM-HD2,,FM2+,Micro ATX,32,2,Black,Gigabyte,
ASRock Fatal1ty 970 Performance,,AM3+/AM3,ATX,64,4,Black / Red,ASRock,970
ASRock Fatal1ty Z170 Gaming-ITX/ac,,LGA1151,Mini ITX,32,2,Black / Red,ASRock,Z170
Asus H110I-PLUS D3/CSM,,LGA1151,Mini ITX,32,2,Black / Gold,Asus,H110
Gigabyte GA-X150M-PRO ECC,,LGA1151,Micro ATX,64,4,Brown / Black,Gigabyte,
MSI X99A XPOWER GAMING TITANIUM,,LGA2011-3,EATX,128,8,White / Black,MSI,X99
Gigabyte GA-Z170X-Ultra Gaming,,LGA1151,ATX,64,4,Black / Red,Gigabyte,Z170
Gigabyte GA-B150-HD3P,,LGA1151,ATX,64,4,Black / Yellow,Gigabyte,B150
EVGA Z270 Classified K,,LGA1151,EATX,64,4,Black,EVGA,Z270
Asus MAXIMUS IX APEX,,LGA1151,EATX,32,2,Black / Silver,Asus,
ASRock Fatal1ty X370 Professional Gaming,,AM4,ATX,64,4,Black / Red,ASRock,X370
ASRock Z490 Phantom Gaming 4/ax,,LGA1200,ATX,128,4,Black / Gray,ASRock,Z490
ASRock H470M-ITX/ac,,LGA1200,Mini ITX,64,2,Black / Silver,ASRock,H470
Gigabyte Z690 UD AC,,LGA1700,ATX,128,4,Black,Gigabyte,Z690
MSI PRO H610M-C EX,,LGA1700,Micro ATX,64,2,Black / Silver,MSI,H610
Gigabyte B760M GAMING X,,LGA1700,Micro ATX,192,4,Brown / Black,Gigabyte,B760
Biostar Z790A-SILVER,,LGA1700,ATX,128,4,Black / Silver,Biostar,Z790
Supermicro X9SRH-7TF,794.99,LGA2011,ATX,64,8,Green / Blue,Supermicro,
Gigabyte Z590 AORUS TACHYON,341.13,LGA1200,EATX,64,2,Black,Gigabyte,Z590
Asus Crosshair IV Extreme,509.95,AM3,EATX,16,4,Black / Red,Asus,
ASRock E3V5 WS,,LGA1151,ATX,64,4,Black / White,ASRock,
MSI X470 GAMING PRO CARBON AC,,AM4,ATX,64,4,Black / Silver,MSI,X470
EVGA Z590 FTW WIFI,,LGA1200,ATX,128,4,Black / Silver,EVGA,Z590
Biostar Z590GTA,199.99,LGA1200,ATX,128,4,Blue / Black,Biostar,Z590
Asus P7P55D-E,,LGA1156,ATX,16,4,Black / Blue,Asus,P55
Asus P7H55-M LX,,LGA1156,Micro ATX,8,2,Black / Blue,Asus,H55
MSI H55M-P33,,LGA1156,Micro ATX,16,4,Black / Blue,MSI,H55
Asus P8P67,,LGA1155,ATX,32,4,Black / Blue,Asus,P67
Asus P8P67 Deluxe,,LGA1155,ATX,32,4,Black / Blue,Asus,P67
Asus Rampage III Black Edition,,LGA1366,EATX,48,6,Black / Gray,Asus,
Gigabyte GA-78LMT-S2P,,AM3+,Micro ATX,8,2,Blue / White,Gigabyte,78L
Asus P8H61-M LX (REV 3.0),,LGA1155,Micro ATX,16,2,,Asus,H61
Intel DX79SI,,LGA2011,ATX,64,8,Black / Blue,Intel,X79
Foxconn H67M-V,,LGA1155,Micro ATX,32,4,Blue / White,Foxconn,H67
ASRock Z77 Pro4,,LGA1155,ATX,32,4,Brown / Black,ASRock,Z77
MSI Z77A-GD65,,LGA1155,ATX,32,4,Black / Blue,MSI,Z77
ASRock B75M,,LGA1155,Micro ATX,16,2,Brown / Black,ASRock,B75
ASRock Z77E-ITX,,LGA1155,Mini ITX,16,2,Brown / Black,ASRock,Z77
ASRock B75M-DGS,,LGA1155,Micro ATX,16,2,Brown / Black,ASRock,B75
ASRock B85 Pro4,,LGA1150,ATX,32,4,Brown / Black,ASRock,B85
ASRock Fatal1ty H97 Performance,,LGA1150,ATX,32,4,Black / Red,ASRock,H97
Gigabyte GA-Z97X-Gaming GT,,LGA1150,ATX,32,4,Black / Red,Gigabyte,Z97
ASRock EPC612D8A,,LGA2011-3 Narrow,ATX,256,8,Green / Blue,ASRock,
MSI Z170A-G45 GAMING,,LGA1151,ATX,64,4,Black / Red,MSI,Z170
Gigabyte GA-Z170-D3H,,LGA1151,ATX,64,4,Black / Gold,Gigabyte,Z170
ASRock Z170M Extreme4,,LGA1151,Micro ATX,64,4,Black / Orange,ASRock,Z170
Asus H110M-PLUS,,LGA1151,Micro ATX,32,2,Black / Gold,Asus,H110
Asus P10S WS,,LGA1151,ATX,64,4,Black,Asus,
Gigabyte GA-Z170-Gaming K3-EU,,LGA1151,ATX,64,4,Black / Red,Gigabyte,Z170
MSI H110I PRO AC,,LGA1151,Mini ITX,32,2,Black / White,MSI,H110
Gigabyte GA-Gaming B8,,LGA1151,ATX,64,4,Black / Green,Gigabyte,
ASRock Z270M-ITX/ac,,LGA1151,Mini ITX,32,2,Black / Silver,ASRock,Z270
Gigabyte GA-Z270X-DESIGNARE,,LGA1151,ATX,64,4,Silver,Gigabyte,Z270
ASRock Z370 Killer SLI,,LGA1151,ATX,64,4,Black / Silver,ASRock,Z370
MSI X299 TOMAHAWK AC,,LGA2066,ATX,256,8,Black / Silver,MSI,X299
MSI H310I PRO,,LGA1151,Mini ITX,32,2,Black,MSI,H310
ECS KAM1-I (V1.0),,AM1,Mini ITX,16,2,Black / Gray,ECS,AM1
Gigabyte GA-AB350M-D3V,,AM4,Micro ATX,32,2,Brown / Black,Gigabyte,B350
MSI X299 PRO,,LGA2066,ATX,256,8,Black,MSI,X299
Asus PRIME H470-PLUS,,LGA1200,ATX,128,4,Black / White,Asus,H470
Gigabyte B660M AORUS Pro,,LGA1700,Micro ATX,128,4,Black,Gigabyte,B660
Gigabyte B760M AORUS ELITE DDR4,,LGA1700,Micro ATX,128,4,Black,Gigabyte,B760
Biostar B550MXC PRO,,AM4,Micro ATX,128,4,Brown / Black,Biostar,B550
Gigabyte H470 AORUS PRO AX,249.99,LGA1200,ATX,128,4,Black / Silver,Gigabyte,H470
Biostar B660MX-E,225.0,LGA1700,Micro ATX,64,2,Gray / Black,Biostar,B660
Asus P8H67-M LE,,LGA1155,Micro ATX,16,2,Black / Blue,Asus,H67
Asus Crosshair V Formula,,AM3+,ATX,32,4,Black / Red,Asus,
Asus Maximus IV Gene-Z,,LGA1155,Micro ATX,32,4,Black / Red,Asus,
Asus P8Z68-V LE,,LGA1155,ATX,32,4,Black / Blue,Asus,Z68
Asus P9X79 DELUXE,,LGA2011,ATX,64,8,Black / Blue,Asus,X79
Gigabyte GA-X79S-UP5-WIFI,,LGA2011,EATX,64,8,Black / Blue,Gigabyte,X79
ASRock B75 Pro3-M,,LGA1155,Micro ATX,32,4,Brown / Black,ASRock,B75
Biostar TA970,,AM3+,ATX,64,4,Black / Red,Biostar,970
ASRock Z87 Extreme3,,LGA1150,ATX,32,4,Brown / Black,ASRock,Z87
Intel DZ87KLT75K,,LGA1150,ATX,32,4,Black / Blue,Intel,Z87
Gigabyte GA-Z97X-SOC FORCE,,LGA1150,ATX,32,4,Black / Orange,Gigabyte,Z97
Asus SABERTOOTH Z97 MARK2,,LGA1150,ATX,32,4,Brown / Black,Asus,Z97
MSI Z97M Gaming,,LGA1150,Micro ATX,32,4,Black / Red,MSI,Z97
Gigabyte GA-X99-GAMING 5,,LGA2011-3,ATX,128,8,Black / Red,Gigabyte,X99
Gigabyte GA-X99-UD5 WIFI,,LGA2011-3,EATX,64,8,Black / Yellow,Gigabyte,X99
Gigabyte GA-X99-GAMING G1WIFI,,LGA2011-3,EATX,64,8,Black / Red,Gigabyte,X99
Asus ASUS CS-B,,LGA1150,Micro ATX,32,4,Brown / Black,Asus,
MSI A68HM-GRENADE,,FM2+,Micro ATX,32,2,Brown / Black,MSI,
Asus Z170M-E D3,,LGA1151,Micro ATX,64,4,Black / Gold,Asus,Z170
ASRock H170M Pro4,,LGA1151,Micro ATX,64,4,Black / Orange,ASRock,H170
Gigabyte GA-B150M-D2V DDR3,,LGA1151,Micro ATX,16,2,Black / Silver,Gigabyte,B150
MSI H170A Gaming Pro,,LGA1151,ATX,64,4,Black / Red,MSI,H170
Gigabyte GA-P35-DS3L,,LGA775,ATX,8,4,Multicolor,Gigabyte,
ASRock A88M-G/3.1,,FM2+,Micro ATX,64,4,Black / Red,ASRock,A88
Supermicro X10SRM-F,,LGA2011-3 Narrow,Micro ATX,512,4,Black / Green,Supermicro,
ASRock Fatal1ty X99 Professional Gaming i7,,LGA2011-3,ATX,128,8,Black / Red,ASRock,X99
Gigabyte GA-990FXA-UD3 Ultra,,AM3+,ATX,64,4,Black / Silver,Gigabyte,990FX
MSI 970A GAMING PRO CARBON,,AM3+/AM3,ATX,32,4,Black / Silver,MSI,970
Gigabyte X299 AORUS Gaming 7,,LGA2066,ATX,128,8,Black / Silver,Gigabyte,X299
ASRock Fatal1ty B360 Gaming K4,,LGA1151,ATX,64,4,Black,ASRock,B360
Gigabyte H370N WIFI,,LGA1151,Mini ITX,32,2,,Gigabyte,H370
Gigabyte H370 AORUS GAMING 3,,LGA1151,ATX,64,4,Black / Orange,Gigabyte,H370
Gigabyte H310M S2V,,LGA1151,Micro ATX,32,2,Black / Silver,Gigabyte,H310
MSI H310M GAMING ARCTIC,,LGA1151,Micro ATX,32,2,White,MSI,H310
EVGA Z370 Micro ATX,,LGA1151,Micro ATX,32,2,Black / Silver,EVGA,Z370
Biostar H310MHD PRO,,LGA1151,Micro ATX,32,2,Black,Biostar,H310
Asus ROG RAMPAGE VI EXTREME OMEGA,,LGA2066,EATX,128,8,Black,Asus,
Biostar B365MHC,,LGA1151,Micro ATX,32,2,Black / Yellow,Biostar,B365
Gigabyte B460M D2V,,LGA1200,Micro ATX,64,2,Black / Silver,Gigabyte,B460
ASRock Z490 Phantom Gaming 4/ac,,LGA1200,ATX,128,4,Black / Gray,ASRock,Z490
Biostar B550GTA,,AM4,ATX,128,4,Black,Biostar,B550
ASRock E3C246D4U2-2L2T,,LGA1151,Micro ATX,128,4,Green,ASRock,
Gigabyte Z690 GAMING X DDR4 V2,,LGA1700,ATX,128,4,Black,Gigabyte,Z690
Asus PRIME-H510M-F,,LGA1200,Micro ATX,64,2,Black / Silver,Asus,H510
Biostar B760A-SILVER,,LGA1700,ATX,128,4,Silver / Black,Biostar,B760
Asus PRIME B760M-K D4-CSM,,LGA1700,Micro ATX,64,2,Silver / Black,Asus,B760
ASRock E3C246D4U,,LGA1151,Micro ATX,128,4,Green,ASRock,
ASRock B460 Steel Legend,,LGA1200,ATX,128,4,Black / Silver,ASRock,B460
Biostar B660MX-E PRO,,LGA1700,Micro ATX,128,4,Black / Silver,Biostar,B660
Asus TUF GAMING B760M-E D4,,LGA1700,Micro ATX,128,4,Black / Orange,Asus,B760
Gigabyte GA-P55A-UD4P,,LGA1156,ATX,16,4,Blue / White,Gigabyte,P55
Asus M4A89GTD PRO/USB3,,AM3,ATX,16,4,Black / Blue,Asus,
MSI P43-C51,,LGA775,ATX,16,4,Black / Blue,MSI,P43
Intel DH67CF,,LGA1155,Mini ITX,16,2,Blue,Intel,H67
Intel DH67CL,,LGA1155,ATX,32,4,Black / Blue,Intel,H67
Asus P5Q-EM DO,,LGA775,Micro ATX,16,4,Black / Yellow,Asus,
Gigabyte GA-990XA-UD3,,AM3+,ATX,32,4,Blue / White,Gigabyte,
ASRock Fatal1ty 990FX Professional,,AM3+,ATX,64,4,Black / Red,ASRock,990FX
ASRock X79 Extreme6,,LGA2011,ATX,64,8,Black / Silver,ASRock,X79
Asus P8H77-V LE,,LGA1155,ATX,32,4,Black / Blue,Asus,H77
MSI Z77A-GD55,,LGA1155,ATX,32,4,Black / Blue,MSI,Z77
ASRock B75 Pro3,,LGA1155,ATX,32,4,Brown / Black,ASRock,B75
ASRock N68C-GS FX,,AM3+,Micro ATX,8,4,Black / Blue,ASRock,
Gigabyte GA-Z87X-UD5H,,LGA1150,ATX,32,4,Black / Gray,Gigabyte,Z87
ASRock H87 Pro4,,LGA1150,ATX,32,4,Brown / Black,ASRock,H87
Gigabyte GA-H87N-WIFI,,LGA1150,Mini ITX,16,2,Black / Silver,Gigabyte,H87
Asus Z87I-Deluxe,,LGA1150,Mini ITX,16,2,,Asus,Z87
ASRock H81M,,LGA1150,Micro ATX,16,2,Black,ASRock,H81
ASRock FM2A88X-ITX+,,FM2+,Mini ITX,32,2,Black / Gray,ASRock,A88
Gigabyte GA-F2A88XM-DS2,,FM2+,Micro ATX,64,2,Black / Silver,Gigabyte,A88
Asus AM1M-A,,AM1,Micro ATX,32,2,Black / Gold,Asus,AM1
ASRock Z97E-ITX/ac,,LGA1150,Mini ITX,16,2,Black / Blue,ASRock,Z97
MSI Z97M-G43,,LGA1150,Micro ATX,32,4,Black / Blue,MSI,Z97
Asus B85M-G R2.0,,LGA1150,Micro ATX,32,4,Black / Gold,Asus,B85
ASRock Z97M Anniversary,,LGA1150,Micro ATX,32,4,Black / Blue,ASRock,Z97
ASRock X99M Extreme4,,LGA2011-3,Micro ATX,64,4,Black / Blue,ASRock,X99
ASRock B150M-HDV,,LGA1151,Micro ATX,32,2,Black / Orange,ASRock,B150
Gigabyte GA-Z170X-UD5 TH,,LGA1151,ATX,64,4,Black / Gold,Gigabyte,Z170
Gigabyte GA-H170M-DS3H,,LGA1151,Micro ATX,64,4,Black,Gigabyte,H170
Asus H110M-A D3,,LGA1151,Micro ATX,32,2,Black / Gold,Asus,H110
Gigabyte GA-X99P-SLI,,LGA2011-3,ATX,128,8,Black / Orange,Gigabyte,X99
MSI H170I Pro AC,,LGA1151,Mini ITX,32,2,Black / White,MSI,H170
ASRock Fatal1ty Z170 Professional Gaming i7,,LGA1151,ATX,64,4,Black / Red,ASRock,Z170
Asus B150I PRO GAMING/WIFI/AURA,,LGA1151,Mini ITX,32,2,Black / Red,Asus,B150
MSI Z170A SLI,,LGA1151,ATX,64,4,Black / Gray,MSI,Z170
ASRock Fatal1ty Z170 Gaming K6,,LGA1151,ATX,64,4,Black / Red,ASRock,Z170
ASRock Fatal1ty Z270 Gaming K4,,LGA1151,ATX,64,4,Black / Red,ASRock,Z270
MSI B250 KRAIT GAMING,,LGA1151,ATX,64,4,Black / White,MSI,B250
MSI X299 GAMING PRO CARBON AC,,LGA2066,ATX,128,8,Black / Silver,MSI,X299
Gigabyte B360M GAMING HD,,LGA1151,Micro ATX,32,2,Silver / Red,Gigabyte,B360
MSI B360 GAMING PRO CARBON,,LGA1151,ATX,64,4,Black,MSI,B360
ASRock Z390 Phantom Gaming 9,,LGA1151,ATX,128,4,Black / Silver,ASRock,Z390
Gigabyte H410M SH2 V2,,LGA1200,Micro ATX,64,2,Black / Silver,Gigabyte,H410
Asus PRIME H410I-PLUS/CSM,,LGA1200,Mini ITX,64,2,Black,Asus,H410
Asus PRIME A620M-A,,AM5,Micro ATX,128,4,Silver / Black,Asus,A620
ASRock H310CM-HG4,,LGA1151,Micro ATX,32,2,Black / Silver,ASRock,H310
MSI PRO H610M-G,,LGA1700,Micro ATX,64,2,Black,MSI,H610
Gigabyte Z690 UD DDR4 V2,,LGA1700,ATX,128,4,Black,Gigabyte,Z690
Asus Pro WS C246-ACE,,LGA1151,ATX,128,4,Black,Asus,
Supermicro C9Z390-CG-IW,595.0,LGA1151,Mini ITX,64,2,Black,Supermicro,Z390
Asus ROG MAXIMUS X APEX,,LGA1151,EATX,32,2,Black / Silver,Asus,
Intel DP55WB,,LGA1156,Micro ATX,16,4,Black / Blue,Intel,P55
Asus M4A87TD/USB3,,AM3,ATX,16,4,Black / Blue,Asus,
Gigabyte GA-MA770T-UD3,,AM3,ATX,16,4,,Gigabyte,770
Gigabyte GA-G41MT-S2P,,LGA775,Micro ATX,8,2,Blue / White,Gigabyte,G41
MSI H61M-E23 (B3),,LGA1155,Micro ATX,16,2,Black / Blue,MSI,H61
Gigabyte GA-P67A-D3-B3,,LGA1155,ATX,32,4,Blue / White,Gigabyte,P67
Foxconn H61MXV,,LGA1155,Micro ATX,8,2,Blue / White,Foxconn,H61
ASRock 970 Pro3 R2.0,,AM3+,ATX,64,4,Brown / Black,ASRock,970
Asus B75M-A,,LGA1155,Micro ATX,16,2,Black / Blue,Asus,B75
MSI Z87 XPOWER,,LGA1150,XL ATX,32,4,Black / Yellow,MSI,Z87
ASRock B85M-HDS,,LGA1150,Micro ATX,16,2,Black / Silver,ASRock,B85
ASRock 970 Extreme3 R2.0,,AM3+,ATX,64,4,Brown / Black,ASRock,970
Asus M5A97 EVO R2.0,,AM3+,ATX,32,4,Black / Blue,Asus,
ECS H81H3-I/HDMI (V1.0),,LGA1150,Mini ITX,16,2,Black / Gray,ECS,H81
MSI B85I,,LGA1150,Mini ITX,16,2,Black / Silver,MSI,B85
ASRock Fatal1ty H97 Killer,,LGA1150,ATX,32,4,Black / Red,ASRock,H97
Asus Z97-DELUXE,,LGA1150,ATX,32,4,Black / Gold,Asus,Z97
MSI X99S GAMING 9 AC,,LGA2011-3,EATX,128,8,Black / Red,MSI,X99
Asus X99-S,,LGA2011-3,ATX,64,8,Black / White,Asus,X99
Gigabyte GA-H97-HD3,,LGA1150,ATX,32,4,Black / Gold,Gigabyte,H97
Asus A88XM-Plus,,FM2+,Micro ATX,64,4,Black / Gold,Asus,A88
ASRock X99 WS-E,,LGA2011-3,EATX,128,8,Black / Blue,ASRock,X99
Gigabyte GA-EG43M-S2H,,LGA775,Micro ATX,8,4,Multicolor,Gigabyte,G43
ASRock Z170M Pro4S,,LGA1151,Micro ATX,64,4,Black / Orange,ASRock,Z170
ASRock H170M-ITX/ac,,LGA1151,Mini ITX,32,2,Black / Red,ASRock,H170
Gigabyte GA-H110M-S2PV DDR3 (rev. 1.0),,LGA1151,Micro ATX,32,2,Black,Gigabyte,H110
ASRock H110M-ITX,,LGA1151,Mini ITX,32,2,Black / Orange,ASRock,H110
ASRock Z170A-X1/3.1,,LGA1151,ATX,64,4,Black / Orange,ASRock,Z170
Gigabyte GA-B150N Phoenix-WIFI,,LGA1151,Mini ITX,32,2,Black / Orange,Gigabyte,B150
MSI B150M Gaming Pro,,LGA1151,Micro ATX,32,2,Black / Red,MSI,B150
Supermicro X11SAE-M,,LGA1151,Micro ATX,64,4,Green,Supermicro,
MSI H170M PRO-VDH,,LGA1151,Micro ATX,64,4,Black / White,MSI,H170
MSI Z270 XPOWER GAMING TITANIUM,,LGA1151,ATX,64,4,Silver / Black,MSI,Z270
Asus STRIX B250G Gaming,,LGA1151,Micro ATX,64,4,Black / Red,Asus,B250
Asus ROG STRIX H270I GAMING,,LGA1151,Mini ITX,32,2,Black / Silver,Asus,H270
NZXT N7 Z370,,LGA1151,ATX,64,4,Black,NZXT,Z370
MSI H270-A PRO,,LGA1151,ATX,64,4,Black / Silver,MSI,H270
EVGA Z390 DARK,,LGA1151,EATX,64,2,Black / Gold,EVGA,Z390
Gigabyte H410M DS2V,,LGA1200,Micro ATX,64,2,Black / Silver,Gigabyte,H410
ASRock H470 Phantom Gaming 4,,LGA1200,ATX,128,4,Black / Gray,ASRock,H470
Gigabyte B660M GAMING X,,LGA1700,Micro ATX,128,4,Black,Gigabyte,B660
Gigabyte B660M AORUS ELITE DDR4,,LGA1700,Micro ATX,128,4,Black,Gigabyte,B660
Asus PRIME A620M-K-CSM,,AM5,Micro ATX,96,2,Black / Silver,Asus,A620
Asus PRIME H610M-D D4-CSM,,LGA1700,Micro ATX,64,2,Silver / Black,Asus,H610
ASRock Z270 Killer SLI,1719.6,LGA1151,ATX,64,4,Black / White,ASRock,Z270
Gigabyte H510M K V2,,LGA1200,Micro ATX,64,2,Black / Gray,Gigabyte,H510
Gigabyte Z490 AORUS XTREME,707.86,LGA1200,EATX,128,4,Black / Silver,Gigabyte,Z490
MSI H410I PRO WIFI,,LGA1200,Mini ITX,64,2,Black / Silver,MSI,H410
Asus Maximus III Gene,,LGA1156,Micro ATX,16,4,Black / Red,Asus,
Asus Maximus III Formula,,LGA1156,ATX,16,4,Black / Red,Asus,
Asus M4A785-M,,AM3/AM2+/AM2,Micro ATX,16,4,Black / Blue,Asus,A78
Asus M4A88TD-V EVO/USB3,,AM3,ATX,16,4,Black / Blue,Asus,A88
Gigabyte GA-890GPA-UD3H,,AM3,ATX,16,4,Blue / White,Gigabyte,890
Intel DG41TX,,LGA775,Micro ATX,4,2,Green / Blue,Intel,G41
Intel DG41TY,,LGA775,Micro ATX,8,2,Green / Blue,Intel,G41
Gigabyte GA-G41M-ES2H,,LGA775,Micro ATX,8,2,Multicolor,Gigabyte,G41
ECS G41T-M2(1.0),,LGA775,Micro ATX,8,2,,ECS,G41
Asus M4A78LT-M,,AM3,Micro ATX,16,4,Black / Blue,Asus,A78
MSI K9N6PGM2-V2,,AM3/AM2+/AM2,Micro ATX,8,2,,MSI,
ASRock P67 Extreme4,,LGA1155,ATX,32,4,,ASRock,P67
Gigabyte G1.Assassin,,LGA1366,XL ATX,24,6,,Gigabyte,
Asus P8H61-M LE/CSM (REV 3.0),,LGA1155,Micro ATX,16,2,,Asus,H61
Gigabyte GA-H61M-S2-B3,,LGA1155,Micro ATX,16,2,Blue / White,Gigabyte,H61
Foxconn H61S,,LGA1155,Mini ITX,8,2,Blue,Foxconn,H61
Gigabyte GA-M68MT-S2,,AM3+,Micro ATX,8,2,Blue / White,Gigabyte,
Asus P8Z68-V/GEN3,,LGA1155,ATX,32,4,Black / Blue,Asus,Z68
Asus P8H77-I,,LGA1155,Mini ITX,16,2,Black / Blue,Asus,H77
Gigabyte GA-B75M-D3P,,LGA1155,Micro ATX,32,4,Blue / White,Gigabyte,B75
MSI B75A-G43,,LGA1155,ATX,32,4,Black / Blue,MSI,B75
Asus P8H77-M LE,,LGA1155,Micro ATX,16,2,Black / Blue,Asus,H77
ASRock Z87 Pro4,,LGA1150,ATX,32,4,Brown / Black,ASRock,Z87
Intel DH87MC,,LGA1150,ATX,32,4,Black / Blue,Intel,H87
Intel DH87RL,,LGA1150,Micro ATX,32,4,Black / Blue,Intel,H87
Asus P9D WS,,LGA1150,ATX,32,4,Black / Gold,Asus,
Gigabyte GA-G1.Sniper A88X,,FM2+,ATX,64,4,Black / Green,Gigabyte,A88
Asus Z87-Pro (V Edition),,LGA1150,ATX,32,4,,Asus,Z87
Asus A88X-PRO,,FM2+,ATX,64,4,Black / Gold,Asus,A88
MSI A78M-E45,,FM2+,Micro ATX,64,4,Black / Blue,MSI,A78
ASRock FM2A88X Extreme4+,,FM2+,ATX,64,4,Brown / Black,ASRock,A88
ASRock Fatal1ty H87 Performance,,LGA1150,ATX,32,4,Black / Red,ASRock,H87
ASRock Z97 PRO3,,LGA1150,ATX,32,4,Black / Blue,ASRock,Z97
Gigabyte GA-F2A58M-HD2,,FM2+,Micro ATX,64,2,Black / Silver,Gigabyte,
ASRock Z97M Pro4,,LGA1150,Micro ATX,32,4,Black / Blue,ASRock,Z97
Asus H97-PRO,,LGA1150,ATX,32,4,Black / Gold,Asus,H97
Biostar Hi-Fi A70U3P,,FM2+,Micro ATX,32,2,Black / Silver,Biostar,
MSI X99A GAMING 9 ACK,,LGA2011-3,EATX,128,8,Black / Red,MSI,X99
Gigabyte GA-P85-D3T,,LGA1150,ATX,16,2,Black,Gigabyte,
MSI Z170A GAMING M9 ACK,,LGA1151,ATX,64,4,Black / Red,MSI,Z170
EVGA Z170 Stinger,,LGA1151,Mini ITX,32,2,Black,EVGA,Z170
MSI Z170 Krait Gaming,,LGA1151,ATX,64,4,Black / White,MSI,Z170
MSI H170A PC Mate,,LGA1151,ATX,64,4,Black / Silver,MSI,H170
ASRock Fatal1ty H170 Performance,,LGA1151,ATX,64,4,Black / Red,ASRock,H170
Gigabyte GA-H170M-D3H DDR3,,LGA1151,Micro ATX,64,4,Black / Gold,Gigabyte,H170
Asus H110M-K D3,,LGA1151,Micro ATX,32,2,Black / Gold,Asus,H110
Asus H170-PRO/CSM,,LGA1151,ATX,64,4,Black / Gold,Asus,H170
ASRock H110M-DVS/D3,,LGA1151,Micro ATX,32,2,Black / Orange,ASRock,H110
Asus B150-PLUS,,LGA1151,ATX,64,4,Black / Gold,Asus,B150
Asus B150M-PLUS,,LGA1151,Micro ATX,64,4,Black / Gold,Asus,B150
Gigabyte GA-F2A88XM-D3HP,,FM2+,Micro ATX,64,4,Black,Gigabyte,A88
MSI B150M Night Elf,,LGA1151,Micro ATX,64,4,Black / Red,MSI,B150
Gigabyte GA-Z170X-UD3 Ultra,,LGA1151,ATX,64,4,Black / Blue,Gigabyte,Z170
Gigabyte GA-B85M-D3H-A,,LGA1150,Micro ATX,32,4,Translucent Black,Gigabyte,B85
Gigabyte GA-B250-HD3P,,LGA1151,ATX,64,4,Black / Gold,Gigabyte,B250
Biostar B350GTN,,AM4,Mini ITX,32,2,Black,Biostar,B350
Gigabyte X299 AORUS Gaming 9,,LGA2066,ATX,128,8,Black / Silver,Gigabyte,X299
ASRock Fatal1ty X299 Professional Gaming i9,,LGA2066,ATX,128,8,Black / Silver,ASRock,X299
Asus ROG MAXIMUS IX EXTREME,,LGA1151,EATX,64,4,Black / Red,Asus,
