index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
55,Intel Core i9-9900K,565,8,3.6,5,95,Intel UHD Graphics 630,TRUE,Coffee Lake-R,1151,14,16,DDR4,,"Oct 19th, 2018",0.39961546,Desktop,FALSE,0.3401394422310756,FALSE,0.3068107287100003,FALSE
56,Intel Core i5-11600K,184,6,3.9,4.9,125,Intel UHD Graphics 750,TRUE,Rocket Lake,1200,14,12,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.4228844851318578,Desktop,FALSE,0.3145750332005311,TRUE,0.2808174255238357,FALSE
57,AMD Ryzen 7 2700X,220,8,3.7,4.3,105,,TRUE,Zen,AM4,12,16,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.3669514300072101,Desktop,FALSE,0.2690903054448871,FALSE,0.2786081673513065,FALSE
58,AMD Ryzen 9 3900X,365,12,3.8,4.6,105,,TRUE,Matisse,AM4,7,64,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.7062640651969674,Desktop,FALSE,0.4933598937583001,FALSE,0.4944768545686768,FALSE
59,Intel Core i7-8700K,279,6,3.7,4.7,95,Intel UHD Graphics 630,TRUE,Coffee Lake,1151,14,12,DDR4,,"Oct 5th, 2017",0.2932989578098713,Desktop,FALSE,0.2076693227091633,FALSE,0.2308156995408885,FALSE
60,Intel Core i7-13700,379,16,2.1,5.2,65,Intel UHD Graphics 770,TRUE,Raptor Lake-S,1700,10,30,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",0.8450698070746575,Unknown,TRUE,0.6439243027888446,TRUE,0.4101108081052159,FALSE
61,Intel Core i3-12100,114.99,4,3.3,4.3,60,Intel UHD Graphics 730,TRUE,Alder Lake-S,1700,10,12,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.3075662566365881,Desktop,FALSE,0.197211155,TRUE,0.2111740136007456,FALSE
62,Intel Core i5-9400F,135,6,2.9,4.1,65,,FALSE,Coffee Lake,1151,14,9,DDR4,,"Jan 8th, 2019",0.1992178111822412,"Desktop, Laptop",FALSE,0.1313081009296148,FALSE,0.1523352549276813,FALSE
63,Intel Core i7-13700F,349.99,16,2.1,5.2,65,,TRUE,Raptor Lake-S,1700,10,30,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.8450698070746575,Unknown,TRUE,0.6439243027888446,TRUE,0.5698505298767649,FALSE
64,Intel Core i7-7700K,310,4,4.2,4.5,91,Intel HD Graphics 630,TRUE,Kaby Lake,1151,14,8,DDR4,,"Jan 3rd, 2017",0.2017085800432607,Desktop,FALSE,0.1326361221779548,FALSE,0.1657461424281128,FALSE
65,Intel Core i3-13100,138.94,4,3.4,4.5,60,Intel UHD Graphics 730,TRUE,Raptor Lake-S,1700,10,12,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.311564596,Unknown,TRUE,0.2030212483399734,TRUE,0.2054955297041665,FALSE
66,Intel Core i7-12700F,284.99,12,2.1,4.9,65,,TRUE,Alder Lake-S,1700,10,25,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.6957110708121217,Desktop,FALSE,0.4873837981407702,TRUE,0.441558217,FALSE
67,AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,TRUE,Matisse,AM4,7,32,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.4992243658371387,Desktop,FALSE,0.3268592297476759,FALSE,0.3204459939935793,FALSE
68,Intel Core i9-11900K,299,8,3.5,5.3,125,Intel UHD Graphics 750,TRUE,Rocket Lake,1200,14,16,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.548690161,Desktop,FALSE,0.3849601593625498,FALSE,0.3830819151506782,FALSE
69,Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,TRUE,Comet Lake,1200,14,12,DDR4,,"Apr 30th, 2020",0.2598702178330311,Desktop,FALSE,0.1900730411686587,FALSE,0.199868825,FALSE
70,Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,TRUE,Comet Lake,1200,14,20,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.509995849,Desktop,FALSE,0.4118525896414342,FALSE,0.4157720321723221,FALSE
71,Intel Core i7-10700F,218.13,8,2.9,4.8,65,,TRUE,Comet Lake,1200,14,16,DDR4,,"Apr 30th, 2020",0.3615329152920098,Desktop,FALSE,0.3477755644090305,FALSE,0.2672857192170941,FALSE
72,Intel Core i7-6700K,220,4,4,4.2,91,Intel HD Graphics 530,TRUE,Skylake,1151,14,8,DDR4,,"Aug 1st, 2015",0.1866110249295374,Desktop,FALSE,0.1148738379814076,FALSE,0.153577963,FALSE
73,Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,FALSE,Coffee Lake,1151,14,9,DDR4,,"Oct 19th, 2018",0.226507024,Desktop,FALSE,0.1608565737051792,FALSE,0.1761020401118437,FALSE
74,AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,TRUE,Picasso,AM4,12,4,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.1940396338132797,Desktop,FALSE,0.1127158034528552,FALSE,0.1371983844799613,FALSE
75,Intel Core i5-10600K,175.48,6,4.1,4.8,125,Intel UHD Graphics 630,TRUE,Comet Lake,1200,14,12,DDR4,,"Apr 30th, 2020",0.3082435709759881,Desktop,FALSE,0.2355577689243027,FALSE,0.2442611067002658,FALSE
76,AMD Ryzen 5 2600X,215,6,3.6,4.2,95,,TRUE,Zen,AM4,12,16,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.2977342742904586,Desktop,FALSE,0.196547145,FALSE,0.2120024854154441,FALSE
77,Intel Core i9-10850K,249.63,10,3.6,5.2,125,Intel UHD Graphics 630,TRUE,Comet Lake,1200,14,20,DDR4,"H410, B460, H470, Z490","Jul 27th, 2020",0.4944176189123642,Desktop,FALSE,0.3828021248339973,TRUE,0.406348165,FALSE
78,AMD Ryzen 3 3100,85.99,4,3.6,3.9,65,,TRUE,Matisse,AM4,7,16,DDR4,,"Apr 24th, 2020",0.2454499770587078,Desktop,FALSE,0.1366201859229747,FALSE,0.1511098070351064,FALSE
79,Intel Core i5-11400,144.88,6,2.6,4.4,65,Intel UHD Graphics 730,TRUE,Rocket Lake,1200,14,12,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.3650068823876423,Desktop,FALSE,0.2375498007968127,TRUE,0.2476958127653698,FALSE
80,Intel Core i7-11700,194.99,8,2.5,4.9,65,Intel UHD Graphics 750,TRUE,Rocket Lake,1200,14,16,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.4405165068059166,Desktop,FALSE,0.3620517928286852,TRUE,0.2995270806724429,FALSE
81,AMD Ryzen 9 3950X,575,16,3.5,4.7,105,,TRUE,Matisse,AM4,7,64,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Nov 25th, 2019",0.846227796,Desktop,FALSE,0.6143758300132802,FALSE,0.6276709586109289,FALSE
82,Intel Core i3-10105F,78.05,4,3.7,4.4,65,,TRUE,Comet Lake-R,1200,14,6,DDR4,,"Mar 16th, 2021",0.1904127247700408,Desktop,FALSE,0.1054116865869853,TRUE,0.1468811488142497,FALSE
83,Intel Core i7-4790K,206.87,4,4,4.4,88,Intel HD Graphics 4600,TRUE,Haswell,1150,22,8,DDR3,"Z87, H87, Z97, H97","May 1st, 2014",0.166815967,Desktop,FALSE,0.088313413,FALSE,0.1412026649176706,FALSE
84,Intel Core i9-13900,559.99,24,2,5.6,65,Intel UHD Graphics 770,TRUE,Raptor Lake-S,1700,10,36,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",0.8917607987939434,Unknown,TRUE,0.6462483399734396,TRUE,0.8395871448790085,FALSE
85,Intel Core i7-8700,313,6,3.2,4.6,65,Intel UHD Graphics 630,TRUE,Coffee Lake,1151,14,12,DDR4,,"Jan 1st, 2018",0.2757324826847867,Desktop,FALSE,0.2055112881806108,FALSE,0.2034070903379474,FALSE
86,Intel Core i5-8400,185,6,2.8,4,65,Intel UHD Graphics 630,FALSE,Coffee Lake,1151,14,9,DDR4,,"Oct 5th, 2017",0.1921824815923441,Desktop,FALSE,0.1258300132802124,FALSE,0.1468811488142497,FALSE
87,Intel Core i9-12900KF,398.99,16,3.2,5.2,125,,TRUE,Alder Lake-S,1700,10,30,"DDR4, DDR5","Z690, H670, B660, H610","Nov 4th, 2021",0.8900565885206143,Desktop,FALSE,0.6499003984063745,FALSE,0.6279816355414408,FALSE
88,Intel Core i7-12700,318.99,12,2.1,4.9,65,Intel UHD Graphics 770,TRUE,Alder Lake-S,1700,10,25,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790",Jan-22,0.6824051213703598,Desktop,FALSE,0.4887118193891102,FALSE,0.4602678725534191,FALSE
89,Intel Core i5-6600K,188,4,3.5,3.9,91,Intel HD Graphics 530,FALSE,Skylake,1151,14,6,DDR4,,"Jul 2nd, 2015",0.1284930848390832,Desktop,FALSE,0.067065073,FALSE,0.099951672,FALSE
90,Intel Core i9-12900KS,389.99,16,3.4,5.5,150,Intel UHD Graphics 770,TRUE,Alder Lake-S,1700,10,30,"DDR4, DDR5",,"Apr 5th, 2022",0.957351045,Desktop,FALSE,0.6547144754316069,FALSE,0.6388553281093582,FALSE
91,AMD Ryzen 5 1600,250,6,3.2,3.6,65,,TRUE,Zen,AM4,14,16,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 11th, 2017",0.2179422753392033,Desktop,FALSE,0.149070385,FALSE,0.1825744761641755,FALSE
92,AMD Ryzen 7 2700,185,8,3.2,4.1,65,,TRUE,Zen,AM4,12,16,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.3197142170464725,Desktop,FALSE,0.221281541,FALSE,0.2456936725465152,FALSE
93,Intel Core i5-6500,140,4,3.2,3.6,65,Intel HD Graphics 530,FALSE,Skylake,1151,14,6,DDR4,"Z170, B150, H110","Jul 2nd, 2015",0.1142476348620245,Desktop,FALSE,0.06125498,FALSE,0.092271048,FALSE
94,Intel Core i7-7700,245,4,3.6,4.2,65,Intel HD Graphics 630,TRUE,Kaby Lake,1151,14,8,DDR4,,"Jan 3rd, 2017",0.1794227533920339,Desktop,FALSE,0.1170318725099601,FALSE,0.1623114363630087,FALSE
95,AMD Threadripper 3970X,2300.98,32,3.7,4.5,280,,TRUE,Castle Peak,TRX4,7,128,DDR4,,"Nov 25th, 2019",0.8087570189429526,Unknown,TRUE,0.6037516600265604,TRUE,0.7335427525976043,TRUE
96,Intel Core i7-11700KF,260,8,3.6,5,125,,TRUE,Rocket Lake,1200,14,16,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.5182765627389718,Desktop,FALSE,0.3839641434262948,TRUE,0.3728123166143118,FALSE
97,Intel Core i3-9100F,110,4,3.6,4.2,65,,FALSE,Coffee Lake,1151,14,6,DDR4,,"Apr 23rd, 2019",0.1385654045314514,Desktop,FALSE,0.077025232,FALSE,0.1027477648520832,FALSE
98,Intel Core i7-11700F,223.57,8,2.5,4.9,65,,TRUE,Rocket Lake,1200,14,16,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.4592846686621949,Desktop,FALSE,0.3620517928286852,TRUE,0.3489419724533121,FALSE
99,Intel Core i3-10100,104.94,4,3.6,4.3,65,Intel UHD Graphics 630,TRUE,Comet Lake,1200,14,6,DDR4,,"Apr 30th, 2020",0.1829622670366405,Desktop,FALSE,0.1336321381142098,FALSE,0.1417894991197487,FALSE
