,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred
47,Intel Core i5-11400F,130.97,6,2.6,4.4,65,,True,Rocket Lake,Socket 1200,14,12.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.3667766392099456,Desktop,False,0.23754980079681273,True,0.25805171044910075,False
48,AMD Ryzen 9 7900X3D,521.74,12,4.4,5.6,120,Radeon,True,Raphael,Socket AM5,5,128.0,DDR5,"X670E, X670, B650E, B650, A620","Jan 4th, 2023",0.8256898774279534,Unknown,True,0.5747011952191234,True,0.7302461251682832,False
49,Intel Core i7-9700K,339.0,8,3.6,4.9,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Oct 19th, 2018",0.30859315257051717,Desktop,False,0.2197875166002656,False,0.23250716282923123,False
50,AMD Ryzen 5 2600,165.0,6,3.4,3.9,65,,True,Zen,Socket AM4,12,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.2789879612838384,Desktop,False,0.18492695883134128,False,0.20354516897373057,False
51,Intel Core i7-11700K,272.87,8,3.6,5.0,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.5314295702331272,Desktop,False,0.3839641434262948,True,0.37153508923331835,False
52,AMD Ryzen 3 3200G,72.75,4,3.6,4.0,65,Radeon Vega 8,False,Picasso,Socket AM4,12,4.0,DDR4,,"Jul 7th, 2019",0.14444274508947103,Desktop,False,0.06789508632138114,False,0.09252994580413546,False
53,AMD Ryzen 5 3600X,210.0,6,3.8,4.4,95,,True,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.3901986060433918,Desktop,False,0.24086985391766266,False,0.24981877179053472,False
54,Intel Core i7-10700K,283.95,8,3.8,5.1,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,16.0,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.4118726649041928,Desktop,False,0.3565737051792829,False,0.3224136145534882,False
55,Intel Core i9-9900K,565.0,8,3.6,5.0,95,Intel UHD Graphics 630,True,Coffee Lake-R,Socket 1151,14,16.0,DDR4,,"Oct 19th, 2018",0.399615460246018,Desktop,False,0.3401394422310756,False,0.3068107287100003,False
56,Intel Core i5-11600K,184.0,6,3.9,4.9,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,12.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.4228844851318578,Desktop,False,0.31457503320053115,True,0.28081742552383576,False
57,AMD Ryzen 7 2700X,220.0,8,3.7,4.3,105,,True,Zen,Socket AM4,12,16.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.3669514300072101,Desktop,False,0.2690903054448871,False,0.2786081673513065,False
58,AMD Ryzen 9 3900X,365.0,12,3.8,4.6,105,,True,Matisse,Socket AM4,7,64.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.7062640651969674,Desktop,False,0.49335989375830014,False,0.49447685456867685,False
59,Intel Core i7-8700K,279.0,6,3.7,4.7,95,Intel UHD Graphics 630,True,Coffee Lake,Socket 1151,14,12.0,DDR4,,"Oct 5th, 2017",0.2932989578098713,Desktop,False,0.20766932270916333,False,0.23081569954088854,False
60,Intel Core i7-13700,379.0,16,2.1,5.2,65,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","H610, B660, H670, Q670, Z690, W680, B760, H770, Z790","Jan 4th, 2023",0.8450698070746575,Unknown,True,0.6439243027888446,True,0.41011080810521594,False
61,Intel Core i3-12100,114.99,4,3.3,4.3,60,Intel UHD Graphics 730,True,Alder Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.3075662566365881,Desktop,False,0.19721115537848605,True,0.2111740136007456,False
62,Intel Core i5-9400F,135.0,6,2.9,4.1,65,,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Jan 8th, 2019",0.19921781118224124,"Desktop, Laptop",False,0.13130810092961487,False,0.15233525492768132,False
63,Intel Core i7-13700F,349.99,16,2.1,5.2,65,,True,Raptor Lake-S,Socket 1700,10,30.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.8450698070746575,Unknown,True,0.6439243027888446,True,0.5698505298767649,False
64,Intel Core i7-7700K,310.0,4,4.2,4.5,91,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14,8.0,DDR4,,"Jan 3rd, 2017",0.2017085800432607,Desktop,False,0.13263612217795484,False,0.1657461424281128,False
65,Intel Core i3-13100,138.94,4,3.4,4.5,60,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10,12.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2023",0.31156459612401405,Unknown,True,0.20302124833997343,True,0.20549552970416654,False
66,Intel Core i7-12700F,284.99,12,2.1,4.9,65,,True,Alder Lake-S,Socket 1700,10,25.0,"DDR4, DDR5","H610, B650, H670, Z690, H710, B750, H770, Z790","Jan 4th, 2022",0.6957110708121217,Desktop,False,0.48738379814077026,True,0.44155821740481205,False
67,AMD Ryzen 7 3800X,275.99,8,3.9,4.5,105,,True,Matisse,Socket AM4,7,32.0,DDR4,"A300, X300, A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.4992243658371387,Desktop,False,0.3268592297476759,False,0.3204459939935793,False
68,Intel Core i9-11900K,299.0,8,3.5,5.3,125,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14,16.0,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.548690161462999,Desktop,False,0.3849601593625498,False,0.38308191515067824,False
69,Intel Core i5-10400,131.13,6,2.9,4.3,65,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,12.0,DDR4,,"Apr 30th, 2020",0.2598702178330311,Desktop,False,0.1900730411686587,False,0.19986882529600608,False
70,Intel Core i9-10900K,341.94,10,3.7,5.3,125,Intel UHD Graphics 630,True,Comet Lake,Socket 1200,14,20.0,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.509995848718565,Desktop,False,0.41185258964143423,False,0.4157720321723221,False
71,Intel Core i7-10700F,218.13,8,2.9,4.8,65,,True,Comet Lake,Socket 1200,14,16.0,DDR4,,"Apr 30th, 2020",0.36153291529200987,Desktop,False,0.34777556440903057,False,0.26728571921709415,False
72,Intel Core i7-6700K,220.0,4,4.0,4.2,91,Intel HD Graphics 530,True,Skylake,Socket 1151,14,8.0,DDR4,,"Aug 1st, 2015",0.18661102492953743,Desktop,False,0.11487383798140768,False,0.15357796264972903,False
73,Intel Core i5-9600K,219.99,6,3.7,4.6,95,Intel UHD Graphics 630,False,Coffee Lake,Socket 1151,14,9.0,DDR4,,"Oct 19th, 2018",0.22650702440516504,Desktop,False,0.16085657370517928,False,0.1761020401118437,False
74,AMD Ryzen 5 3400G,121.99,4,3.7,4.2,65,Radeon Vega 11,True,Picasso,Socket AM4,12,4.0,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.1940396338132797,Desktop,False,0.11271580345285523,False,0.13719838447996133,False
