name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,pmprice,cpuMark,threadMark,category
Intel Core i3-2120,128.12,2,3.3,3.3,65,Intel HD Graphics 2000,True,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,"Z77, Z75, Q77, H77, Q75, B75, Z68, P67, H67, Q67, B65, H61","Feb 20th, 2011",27.44,1926.0,1517.0,Desktop
AMD FX-9370,109.0,8,4.4,4.7,220,,False,Vishera,Socket AM3+,32 nm,8 MB,DDR3,"AMD 800 Series, AMD 900 Series","Jun 11th, 2013",,,,
Intel Core i7-7820X,329.88,8,3.6,4.5,140,,True,Skylake-X,Socket 2066,14 nm,11 MB,,,"Jun 26th, 2017",709.0,17283.0,2539.0,Desktop
Intel Core i7-7700T,489.95,4,2.9,3.8,35,Intel HD Graphics 630,True,Kaby Lake,Socket 1151,14 nm,8 MB,DDR4,,"Jan 3rd, 2017",390.0,7561.0,2156.0,Desktop
Intel Core i5-13500T,,14,1.6,4.6,35,Intel UHD Graphics 770,True,Raptor Lake-S,Socket 1700,10 nm,24 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,,,
Intel Core i3-13100T,,4,2.5,4.2,35,Intel UHD Graphics 730,True,Raptor Lake-S,Socket 1700,10 nm,12 MB,"DDR4, DDR5","Intel 600 Series, Intel 700 Series","Jan 4th, 2023",,,,
Intel Xeon E-2176G,1070.23,6,3.7,4.7,80,Intel HD Graphics P630,True,Coffee Lake-S WS,Socket 1151,14 nm,12 MB,DDR4,"C242, C246","Jul 12th, 2018",448.0,13643.0,2749.0,Server
AMD A4-6300,46.79,2,3.7,3.9,65,Radeon HD 8370D,False,Richland,Socket FM2,32 nm,,DDR3,"A88X, A85X, A78, A75, A68H, A55","Jun 1st, 2013",,,,
AMD Threadripper 2970WX,1156.0,24,3.0,4.2,250,,True,Colfax,Socket SP3r2,12 nm,64 MB,DDR4,,"Oct 2nd, 2018",,,,
Intel Xeon E5-2680 V4,1990.0,14,2.4,3.3,120,,True,,,,,,,,,,,
Intel Celeron E3500,,2,2.7,2.7,65,,False,Wolfdale,Socket 775,45 nm,,"DDR1, DDR2, DDR3",,"Aug 29th, 2010",21.0,935.0,1154.0,Desktop
Intel Core i5-6402P,104.99,4,2.8,3.4,65,Intel HD Graphics 510,False,,,,,,,,139.88,5414.0,2027.0,Desktop
Intel Core i3-4160,,2,3.6,3.6,54,Intel HD Graphics 4400,True,Haswell,Socket 1150,22 nm,3 MB,DDR3,,"Jul 21st, 2014",59.99,3495.0,2014.0,Desktop
Intel Core 2 Quad Q9550,52.55,4,2.83,2.83,95,,False,Yorkfield,Socket 775,45 nm,,,,"Mar 25th, 2008",,,,
Intel Core i5-11600,240.0,6,2.8,4.8,65,Intel UHD Graphics 750,True,Rocket Lake,Socket 1200,14 nm,12 MB,,,"Mar 16th, 2021",216.41,18318.0,3302.0,Desktop
Intel Core i7-920,99.0,4,2.66,2.66,130,,True,Bloomfield,Socket 1366,45 nm,8 MB,,,"Nov 17th, 2008",189.88,2741.0,1220.0,Desktop
Intel Xeon E5-2690 V4,424.48,14,2.6,3.5,135,,True,,,,,,,,,,,
AMD FX-8370,241.98,8,4.0,4.3,125,,False,Vishera,Socket AM3+,32 nm,8 MB,,,"Sep 2nd, 2014",,,,
Intel Core i9-7980XE,1193.0,18,2.6,4.4,165,,True,Skylake-X,Socket 2066,14 nm,24.75 MB,DDR4,,"Sep 1st, 2017",816.42,29842.0,2474.0,Desktop
AMD Athlon 220GE,104.39,2,3.4,3.4,35,Radeon Vega 3,True,Zen,Socket AM4,14 nm,4 MB,DDR4,"AMD 300 Series, AMD 400 Series","Dec 21st, 2018",,,,
AMD Ryzen 3 1200AF,129.74,4,3.1,3.4,65,,False,,,,,,,,,,,
Intel Celeron G4900T,59.95,2,1.8,1.8,35,Intel UHD Graphics 610,False,Coffee Lake,Socket 1151,14 nm,2 MB,DDR4,,"Apr 3rd, 2018",77.95,2403.0,1789.0,Desktop
AMD Phenom II X4 965 BE,90.0,4,3.4,3.4,125,,False,Deneb,Socket AM3,45 nm,6 MB,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series, nForce 630a, nForce 700a, nForce 900a","Nov 7th, 2009",,,,
Intel Pentium Gold G6605,69.99,2,4.3,4.3,58,Intel UHD Graphics 630,True,Comet Lake-R,Socket 1200,14 nm,4 MB,DDR4,,"Mar 16th, 2021",124.25,4493.0,2658.0,Desktop
Intel Celeron G5905,,2,3.5,3.5,58,Intel UHD Graphics 610,False,,,,,,,,47.19,2815.0,2189.0,Desktop
Intel Core i7-5930K,,6,3.5,3.7,140,,True,Haswell-E,Socket 2011-3,22 nm,15 MB,DDR4,,"Sep 1st, 2014",319.95,10304.0,2063.0,Desktop
Intel Pentium G640,45.0,2,2.8,2.8,65,Intel HD Graphics,False,Sandy Bridge,Socket 1155,32 nm,3 MB,DDR3,,"Jun 3rd, 2012",30.0,1270.0,1290.0,Desktop
Intel Core i5-4430,123.85,4,3.0,3.0,84,Intel HD Graphics 4600,False,Haswell,Socket 1150,22 nm,6 MB,DDR3,,"Jun 2nd, 2013",148.77,4646.0,1806.0,Desktop
AMD Threadripper 2920X,950.0,12,3.5,4.3,180,,True,Colfax,Socket SP3r2,12 nm,32 MB,DDR4,,"Oct 3rd, 2018",,,,
Intel Core i7-3930K,298.98,6,3.2,3.2,130,,True,Sandy Bridge-E,Socket 2011,32 nm,12 MB,DDR3,,"Nov 14th, 2011",250.0,8244.0,1762.0,Desktop
AMD FX-6120,58.53,6,3.5,4.1,95,,False,Zambezi,Socket AM3+,32 nm,8 MB,DDR3,,"Oct 23rd, 2012",,,,
Intel Xeon E5-2698 V3,,16,2.3,3.6,135,,True,Haswell-EP,Socket 2011-3,22 nm,40 MB,DDR4,"C612, X99","Sep 8th, 2014",,,,
Intel Xeon E5-2680,80.0,8,2.7,3.5,130,,True,Sandy Bridge-EP,Socket 2011,32 nm,20 MB,DDR3,,"Mar 6th, 2012",85.45,9361.0,1561.0,Server
AMD FX-6350,100.0,6,3.9,3.9,125,,False,Vishera,Socket AM3+,32 nm,8 MB,DDR3,"AMD 700 Series, AMD 800 Series, AMD 900 Series","Apr 29th, 2013",,,,
Intel Core i9-10940X,850.0,14,3.3,4.8,165,,True,Cascade Lake-X,Socket 2066,14 nm,19.25 MB,DDR4,,"Oct 19th, 2019",771.99,28619.0,2724.0,Desktop
Intel Xeon E5-2620 V3,55.29,6,2.4,3.2,85,,True,Haswell-EP,Socket 2011-3,22 nm,15 MB,DDR4,"C612, X99","Sep 8th, 2014",,,,
AMD A10-9700,120.0,4,3.5,3.8,65,Radeon R7 (on-die),False,Bristol Ridge,Socket AM4,28 nm,,DDR4,"X370, B350, A320","Jul 27th, 2017",91.75,3546.0,1616.0,Desktop
Intel Celeron G3900,49.99,2,2.8,2.8,51,Intel HD Graphics 510,False,Skylake,Socket 1151,14 nm,4 MB,"DDR3, DDR4",,"Sep 1st, 2015",77.95,2212.0,1718.0,Desktop
Intel Xeon E5-2699 V3,,18,2.3,3.6,145,,True,Haswell-EP,Socket 2011-3,22 nm,45 MB,DDR4,"C612, X99","Sep 8th, 2014",,,,
AMD A8-6600K,92.86,4,3.9,3.9,100,Radeon HD 8570D,False,Richland,Socket FM2,32 nm,,DDR3,"A88X, A85X, A78, A75, A68H, A55","Jun 1st, 2013",,,,
Intel Core i7-3820,,4,3.6,3.6,130,,True,Sandy Bridge-E,Socket 2011,32 nm,10 MB,DDR3,,"Feb 13th, 2012",117.97,5754.0,1736.0,Desktop
