name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
Crucial P3 Plus,26.99,500,0.054,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Blue SN570,92.99,2000,0.046,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Kingston KC3000,89.47,1024,0.087,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Kingston A400,23.99,480,0.05,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Black SN770,29.99,500,0.06,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Intel 670p,39.99,1000,0.04,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial MX500,114.99,2000,0.057,SSD,2048,2.5,SATA 6.0 Gb/s,550
Western Digital WD_BLACK,134.99,4000,0.034,7200,256,3.5,SATA 6.0 Gb/s,160
Solidigm P44 Pro,129.99,2000,0.065,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
MSI SPATIUM M461,49.98,1000,0.05,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
MSI SPATIUM M450,24.99,500,0.05,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 990 Pro w/Heatsink,179.99,2000,0.09,SSD,2048,M.2,M.2 PCIe 4.0 X4,7000
Kingston Fury Renegade,149.99,2000,0.075,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power A55,34.97,1000,0.035,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung 860 Evo,110,1000,0.11,SSD,1024,2.5,SATA 6.0 Gb/s,550
Seagate IronWolf NAS,129.99,8000,0.016,7200,256,3.5,SATA 6.0 Gb/s,160
Silicon Power UD90,43.97,1000,0.044,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Corsair MP600 PRO NH,909.99,8000,0.114,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Kingston Fury Renegade,79.98,1000,0.08,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate Exos X20,288.99,20000,0.014,7200,256,3.5,SATA 6.0 Gb/s,160
Seagate FireCuda 530,132.75,2000,0.066,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Samsung 980 Pro w/Heatsink,69.98,1000,0.07,SSD,1024,M.2,M.2 PCIe 4.0 X4,7000
Kingston A400,39.99,960,0.042,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate SuperSpeed HDD,,1000,,,64,2.5,SATA 6.0 Gb/s,550
TEAMGROUP MP34,75.98,2000,0.038,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital DC HC530,159,14000,0.011,7200,512,3.5,SATA 6.0 Gb/s,160
Western Digital Blue,69.98,1000,0.07,SSD,0,2.5,SATA 6.0 Gb/s,550
TEAMGROUP MS30,19.98,512,0.039,SSD,0,M.2,M.2 SATA,550
Kingston NV2,24.8,250,0.099,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Crucial MX500,34.95,500,0.07,SSD,512,2.5,SATA 6.0 Gb/s,550
Corsair MP600 CORE XT,94.99,2000,0.047,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate BarraCuda,63.34,2000,0.032,7200,64,3.5,SATA 6.0 Gb/s,160
Patriot Burst Elite,11.49,120,0.096,SSD,0,2.5,SATA 6.0 Gb/s,550
Samsung 860 Evo,,500,,SSD,512,2.5,SATA 6.0 Gb/s,550
MSI SPATIUM M461,,4000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Mushkin ALPHA,1488.88,8000,0.186,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial MX500,206.99,4000,0.052,SSD,0,2.5,SATA 6.0 Gb/s,550
Kingston A400,14.99,120,0.125,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Green SN350,43.99,1000,0.044,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Silicon Power UD85,72.97,2000,0.036,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Corsair MP600 PRO XT,124.99,2000,0.062,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power A55,64.97,2000,0.032,SSD,0,2.5,SATA 6.0 Gb/s,550
Sabrent Rocket 4 Plus,349.99,4000,0.087,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power XS70,104.97,2000,0.052,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
TEAMGROUP MP34,44.49,1000,0.044,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Crucial P2,62.03,1000,0.062,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Intel 670p,31.99,512,0.062,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Samsung 870 QVO,99.99,2000,0.05,SSD,0,2.5,SATA 6.0 Gb/s,550
