name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed,capacity_spec,cache_spec,speed_spec
Corsair MP600 PRO XT,124.99,0.09057839214259732,0.9887143173268422,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
Silicon Power A55,64.97,0.09057839214259732,0.9953529541934056,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,0,550
Sabrent Rocket 4 Plus,349.99,0.18152055292833758,0.9831821199380394,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,4.0,0,7000
Silicon Power XS70,104.97,0.09057839214259732,0.9909271962823634,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
TEAMGROUP MP34,44.49,0.04510731174972717,0.9926974994467803,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Crucial P2,62.03,0.04510731174972717,0.9887143173268422,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,1.0,0,3500
Intel 670p,31.99,0.02291742451800655,0.9887143173268422,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.512,0,3500
Samsung 870 QVO,99.99,0.09057839214259732,0.9913697720734675,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,2.0,0,550
Western Digital Black SN850X w/Heatsink,142.99,0.09057839214259732,0.9867227262668732,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,2.0,0,7000
TEAMGROUP MP34,185.99,0.18152055292833758,0.992254923655676,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,4.0,0,3500
Sabrent Rocket 4.0,59.99,0.04510731174972717,0.9891568931179464,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
ADATA XPG GAMMIX S70 Blade,54.99,0.04510731174972717,0.990263332595707,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Patriot P300,17.98,0.011276827937431793,0.9869440141624253,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,0.256,0,3500
Samsung 850 Evo,,0.011004001455074573,,SSD,0.0,2.5,SATA 6.0 Gb/s,0.05701754385964912,0.25,0,550
Silicon Power A80,78.97,0.09057839214259732,0.9938039389245408,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
TEAMGROUP Cardea Zero Z440 Graphene,48.99,0.04510731174972717,0.9915910599690196,SSD,0.0,M.2,M.2 PCIe 4.0 X4,1.0,1.0,0,7000
Leven JPS600,63.99,0.09057839214259732,0.9953529541934056,SSD,0.0,M.2,M.2 PCIe 3.0 X4,0.48830409356725146,2.0,0,3500
