chipset,core_clock,boost_clock,memory_clock,memory,memory_ver,bus_width,shaders,TMUs,ROPs,PCIe,TDP,rec_psu,detail_URL,g3dmark,g2dmark,api_score,blender_score,no_benchmark,1080p_fps,1440p_fps,4k_fps,fps_score
Radeon RX VEGA 56,1156,1471,800,8.0,5,2048,3584,224,64,PCIe 3.0 x16,210,550 W,https://www.techpowerup.com/gpu-specs/radeon-rx-vega-56.c2993,0.45201301199762145,0.7306054872280039,0.3570712387910164,0.04743522654070789,0.0,,,,0.3541199250389797
Quadro M2000,796,1180,1653,4.0,5,128,768,48,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/quadro-m2000.c2837,0.12022106404561196,0.47776726584673607,0.0717918701812457,0.02010618976140968,0.0,,,,0.20277234396478094
Radeon Pro WX 4100,1125,975,1500,4.0,5,128,1024,64,16,PCIe 3.0 x8,50,250 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-4100.c2874,0.11406485011717794,0.5960264900662251,0.11448956525249263,0.018922013259949168,0.0,,,,0.15551968666091687
Quadro P5000,1607,1733,1127,16.0,5,256,2560,160,64,PCIe 3.0 x16,180,450 W,https://www.techpowerup.com/gpu-specs/quadro-p5000.c2864,0.40123823848333273,0.6064333017975403,0.25351188794251805,0.039441692793326266,2.0,,,,0.3824771110114543
T1000,765,1395,1250,4.0,5,128,896,56,32,PCIe 3.0 x16,50,200 W,https://www.techpowerup.com/gpu-specs/quadro-t1000-max-q.c3807,0.2561824477946063,0.7294228949858088,0.17955031687724538,0.02029187648325217,0.0,,,,0.23175008349933862
Quadro P1000,1266,1455,1253,4.0,5,128,640,40,32,PCIe 3.0 x16,47,200 W,https://www.techpowerup.com/gpu-specs/quadro-p1000.c3680,0.13854979187799504,0.566698202459792,0.07191296976547047,0.009729216108405363,2.0,,,,0.2308950760485939
Radeon PRO W6600,2331,2580,1750,8.0,6,128,1792,112,64,PCIe 4.0 x8,100,300 W,https://www.techpowerup.com/gpu-specs/radeon-pro-w6600.c3818,0.4794501381650285,0.8949858088930938,0.3892241553304,0.07717960605740674,3.0,,,,0.46383286590438844
GeForce GTX Titan X,1000,1000,1753,12.0,5,384,3072,192,96,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,0.3359578859001714,0.6444843897824031,0.20470330512439922,0.03596999144667478,0.0,,,,0.3730877632192514
GeForce GTX 660,980,1020,1502,2.0,5,192,960,80,24,PCIe 3.0 x16,140,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-660.c895,0.12238973031585575,0.3935666982024598,0.04531142776409801,0.007739305665851116,3.0,33.0,19.0,11.0,0.17676573879585428
Radeon Pro WX 7100,1188,1080,1750,8.0,5,256,2304,144,32,PCIe 3.0 x16,130,300 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-7100.c2872,0.25593759837699814,0.6877956480605487,0.21301416865135428,0.026481087052652705,0.0,,,,0.23611391797178224
T400,420,1425,1250,2.0,6,64,384,24,16,PCIe 3.0 x16,30,200 W,https://www.techpowerup.com/gpu-specs/t400.c3808,0.10920284025324427,0.4739829706717124,0.08153029507932022,0.08417736597367899,0.0,,,,0.19349251729856026
GeForce GTX 950,1024,1393,1653,2.0,5,128,768,48,32,PCIe 3.0 x16,90,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-950.c2747,0.17093987197873306,0.5496688741721854,0.07603035562911233,0.009443850251014846,2.0,30.0,21.0,13.0,0.17783390734143434
Quadro P400,1228,1170,1002,2.0,5,64,256,16,16,PCIe 3.0 x16,30,200 W,https://www.techpowerup.com/gpu-specs/quadro-p400.c2934,0.03879114344678023,0.34720908230842007,0.02565292859161183,0.0036651227838242744,0.0,,,,0.1557459779991247
Quadro NVS 420,550,550,700,0.25,3,64,8,4,4,PCIe 2.0 x16,40,200 W,https://www.techpowerup.com/gpu-specs/quadro-nvs-420.c1448,0.004399944034418832,0.13338694418164618,0.003498365725862038,0.0008384553827039231,0.0,,,,0.044409285546096175
Radeon R9 380,970,1000,1375,2.0,5,256,1792,112,32,PCIe 3.0 x16,190,450 W,https://www.techpowerup.com/gpu-specs/radeon-r9-380.c2734,0.20182587708559235,0.5818353831598864,0.1822245993622088,0.01474307892163838,0.0,39.0,28.0,16.0,0.19835569091409302
GeForce GTX 760,980,1085,1502,2.0,5,256,1152,96,32,PCIe 3.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-760.c1857,0.1493581447409843,0.4380321665089877,0.05437371331691761,0.010846962804511383,3.0,36.0,27.0,14.0,0.19188194215300194
T600,735,1335,1250,4.0,6,128,640,40,32,PCIe 3.0 x16,40,200 W,https://www.techpowerup.com/gpu-specs/t600.c3796,0.21001084333135123,0.641438032166509,0.1330480765349372,0.08559883986920604,0.0,,,,0.22101882382692234
Radeon Pro WX 3100,925,1219,1500,4.0,5,128,512,32,16,PCIe 3.0 x8,65,250 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-3100.c2978,0.07422435202350555,0.4077578051087985,0.07050014128284825,0.018205561344478684,0.0,,,,0.16825958706347327
RTX A5500,1080,1695,2000,24.0,6,384,10240,320,96,PCIe 4.0 x16,230,550 W,https://www.techpowerup.com/gpu-specs/rtx-a5500.c3901,0.7805708489279094,0.8404257332071903,0.8896036316641786,0.40556991310494883,2.0,,,,0.665318939795635
Radeon R9 390 X2,1000,1000,1350,8.0,5,512,2560,160,64,PCIe 3.0 x16,580,950 W,https://www.techpowerup.com/gpu-specs/radeon-r9-390-x2.c2755,0.2656476267095736,0.6477861873226112,0.19156425378385758,0.029781209308588383,0.0,,,,0.2928861065073138
Quadro M6000,988,1114,1653,12.0,5,384,3072,192,96,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/quadro-m6000.c2638,0.38098569379831404,0.6887417218543046,0.19988495539498644,0.03523771052426222,1.0,,,,0.38637236271384645
Quadro K6000,797,902,1502,12.0,5,384,2880,240,48,PCIe 3.0 x16,225,550 W,https://www.techpowerup.com/gpu-specs/quadro-k6000.c2426,0.2659414460107034,0.46925260170293287,0.0903201065676341,0.026046152763305453,0.0,,,,0.26450930676260703
Radeon Pro WX 9100,1200,1500,945,16.0,5,2048,4096,256,64,PCIe 3.0 x16,230,550 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-9100.c2989,0.4454860260939522,0.67360454115421,0.37201792273846523,0.05127017643719578,0.0,,,,0.3731931445812384
Quadro NVS 295,540,540,695,0.25,3,64,8,4,4,PCIe 1.0 x16,23,200 W,https://www.techpowerup.com/gpu-specs/quadro-nvs-295.c1450,0.004407289516947077,0.13371807000946073,0.003498365725862038,0.0008384553827039231,0.0,,,,0.04324396979919777
Radeon PRO W6400,2039,2331,2000,4.0,6,64,768,48,32,PCIe 4.0 x4,50,250 W,https://www.techpowerup.com/gpu-specs/radeon-pro-w6400.c3873,0.18926859981111616,0.5307473982970672,0.24793965924263964,0.037764789678477524,0.0,,,,0.34205106333864965
Radeon R9 270X,1000,1020,1400,2.0,5,256,1280,80,32,PCIe 3.0 x16,180,450 W,https://www.techpowerup.com/gpu-specs/radeon-r9-270x.c2466,0.15453496099898562,0.5175023651844843,0.16871190408912926,0.013488111796091174,0.0,,,,0.19773441576034373
Radeon R9 290,947,1000,1250,4.0,5,512,2560,160,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-290.c2397,0.27646997096785475,0.6896877956480605,0.1986823821740989,0.028212982386882652,0.0,57.0,42.0,26.0,0.2436719322417305
Radeon Pro W5500,1744,1900,1750,8.0,6,128,1408,88,32,PCIe 4.0 x8,125,300 W,https://www.techpowerup.com/gpu-specs/radeon-pro-w5500.c3479,0.30655147084543005,0.7909176915799432,0.2339341218261817,0.03675558146544931,10.0,,,,0.3103998694071195
Quadro P620,1266,1354,1252,2.0,5,128,512,32,16,PCIe 3.0 x16,40,200 W,https://www.techpowerup.com/gpu-specs/quadro-p620.c3085,0.10965756060023087,0.48722800378429515,0.058359907964315984,0.007956581546545237,1.0,,,,0.18399134967109526
Radeon RX 460,1090,1210,1750,2.0,5,128,896,56,16,PCIe 3.0 x8,75,250 W,https://www.techpowerup.com/gpu-specs/radeon-rx-460.c2849,0.126237364021127,0.4824976348155156,0.1114620756468736,0.007497035408317993,0.0,27.0,20.0,12.0,0.17246069586972873
GeForce GTX 650,1058,1110,1250,1.0,5,128,384,32,16,PCIe 3.0 x16,65,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-650.c2445,0.04421280912238973,0.27057710501419113,0.017297057280103337,0.0019516576466573944,1.0,,,,0.1519486709092041
Radeon R9 Fury,1000,1050,500,4.0,4,4096,3584,224,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-fury.c2736,0.31641540452621636,0.6915799432355725,0.35067412101885115,0.040653564319016094,0.0,,,,0.2675657141179746
Radeon VII,1400,1750,1000,16.0,5,4096,3840,240,64,PCIe 3.0 x16,295,600 W,https://www.techpowerup.com/gpu-specs/radeon-vii.c3358,0.5688201755920109,0.6887417218543046,0.4279356557542485,0.0538132682117736,2.0,126.0,94.0,56.0,0.40658381981458724
GeForce GTX 750,1020,1137,1253,1.0,5,128,512,32,16,PCIe 3.0 x16,55,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-750.c1986,0.10122774493686383,0.3973509933774834,0.04342429257659548,0.0028802595681718408,0.0,,,,0.15870399793121912
Radeon HD 6570,650,480,1000,2.0,5,128,480,24,8,PCIe 2.0 x16,60,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6570.c277,0.01912352653118333,0.26384815515610216,0.004450409720259961,0.003639891239650704,0.0,,,,0.06532073998438925
GeForce 8400 GS,459,520,400,0.25,2,64,16,8,4,PCIe 1.0 x16,40,200 W,https://www.techpowerup.com/gpu-specs/geforce-8400-gs.c205,0.004399944034418832,0.13338694418164618,0.003498365725862038,0.000876379204556062,0.0,,,,0.03718860069574893
GeForce GT 610,810,810,898,1.0,3,64,48,8,4,PCIe 2.0 x16,29,200 W,https://www.techpowerup.com/gpu-specs/geforce-gt-610.c821,0.0056225596258301196,0.14699080956886063,0.0033907883582933026,0.0006148142367725657,0.0,,,,0.075992537765897
Quadro K4200,771,771,1350,4.0,5,256,1344,112,32,PCIe 2.0 x16,108,300 W,https://www.techpowerup.com/gpu-specs/quadro-k4200.c2602,0.13403756689635876,0.4181646168401135,0.048086626569248773,0.02076774891476816,0.0,,,,0.17178044673993137
Quadro GP100,1304,1441,715,16.0,5,4096,3584,224,96,PCIe 3.0 x16,235,550 W,https://www.techpowerup.com/gpu-specs/quadro-gp100.c2994,0.5490923082304383,0.7549668874172186,0.3583336697210673,0.04551436239474742,0.0,,,,0.3796582693690932
Radeon Pro W5700,1400,1930,1750,8.0,6,256,2304,144,64,PCIe 4.0 x16,205,550 W,https://www.techpowerup.com/gpu-specs/radeon-pro-w5700.c3466,0.5099863583895904,0.8022705771050143,0.30862229039680295,0.06251807444606126,6.0,,,,0.4016944660273183
GeForce GTX 780 Ti,875,1072,1753,3.0,5,384,2880,240,48,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-780-ti.c2512,0.30805554583930883,0.5354777672658468,0.11256206353691518,0.027949022794076014,1.0,,,,0.28431967452243245
Quadro M4000,773,773,1502,8.0,5,256,1664,104,64,PCIe 3.0 x16,120,300 W,https://www.techpowerup.com/gpu-specs/quadro-m4000.c2757,0.21473293924236597,0.5950804162724692,0.0944475840632947,0.01626585387125945,5.0,,,,0.24314264242388955
GeForce GTX 780,863,967,1502,3.0,5,384,2304,192,48,PCIe 3.0 x16,86,250 W,https://www.techpowerup.com/gpu-specs/geforce-7800-gtx.c127,0.2629332960229459,0.511825922421949,0.09130908650546965,0.0212073500452148,1.0,55.0,40.0,24.0,0.23719818348063942
Radeon HD 4550,550,600,700,0.25,3,64,80,8,4,PCIe 2.0 x16,25,200 W,https://www.techpowerup.com/gpu-specs/radeon-hd-4550.c232,0.004053307216062122,0.1301419110690634,0.003498365725862038,0.0008111275853152119,0.0,,,,0.052423150673143376
Radeon Pro WX 5100,713,1206,1250,8.0,5,256,1792,112,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-5100.c2873,0.17510231207807198,0.7190160832544938,0.1649275420821055,0.025338858567172676,0.0,,,,0.23510309255355163
Radeon HD 7750,800,800,1125,1.0,5,128,512,32,16,PCIe 3.0 x16,55,250 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7750.c309,0.041659379481618804,0.3197729422894986,0.014021237623443077,0.0022689263358258854,0.0,18.0,8.0,5.0,0.14222828915543345
Vega Frontier Edition Liquid,1382,1600,945,16.0,5,2048,4096,256,64,PCIe 3.0 x16,375,750 W,https://www.techpowerup.com/gpu-specs/radeon-vega-frontier-edition-watercooled.c2982,0.5340938822624086,0.6965468306527909,0.36554095431129635,0.062365920125101976,0.0,,,,0.3848463020487153
Quadro P2200,1000,1493,1251,5.0,5,160,1280,80,40,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/quadro-p2200.c3442,0.31414180279128334,0.8618732261116366,0.16280829935817218,0.02402199076730518,3.0,,,,0.27002415389084744
GeForce GTX 950 75W,1026,1228,1653,2.0,5,128,768,48,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-950-low-power.c2841,0.1358277659239568,0.48000000000000004,0.09463806443769619,0.009517922964989515,0.0,,,,0.20836585954748169
Radeon R7 370,925,1070,1400,2.0,5,256,1024,64,32,PCIe 3.0 x16,110,300 W,https://www.techpowerup.com/gpu-specs/radeon-r7-370.c2645,0.1390045122249816,0.5061494796594135,0.13576272554797558,0.011786367315587102,0.0,29.0,20.0,12.0,0.1745970329608888
Quadro K620,1058,1058,900,2.0,3,128,384,24,16,PCIe 2.0 x16,45,200 W,https://www.techpowerup.com/gpu-specs/quadro-k620.c2600,0.0608975480079751,0.38978240302743616,0.031082226617688613,0.004610992017406551,2.0,,,,0.13735947905537949
FirePro W9100,930,930,1250,16.0,5,512,2816,176,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/firepro-w9100.c2562,0.25233481408933506,0.6906338694418164,0.18733096516368622,0.0308094215106182,0.0,,,,0.2925757981546368
GeForce GTX 260,576,680,999,0.875,3,448,192,64,28,PCIe 2.0 x16,182,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-260.c217,0.025044597572492916,0.02649006622516556,0.038368184722290206,0.011206363123080657,0.0,14.0,9.0,5.0,0.1389914147748879
GeForce GTX 560 Ti,823,900,1002,1.0,5,256,384,64,32,PCIe 2.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-560-ti.c273,0.08923012347406345,0.33680227057710505,0.0389637912243168,0.0117060746969996,0.0,31.0,21.0,10.0,0.17569757025027427
Radeon HD 7990,950,950,1500,3.0,5,384,2048,128,32,PCIe 3.0 x16,375,750 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7990.c2126,0.17702612893070763,0.6679280983916747,0.16311171107228248,0.022152094646597703,0.0,73.0,56.0,32.0,0.28251442480827693
Radeon R9 280X,850,1070,1500,3.0,5,384,2048,128,32,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-280x.c2398,0.20214068347966002,0.5979186376537371,0.19570556832725133,0.02361512637958709,0.0,46.0,33.0,20.0,0.2156082313624007
Quadro P600,1329,1455,1002,2.0,5,128,384,24,16,PCIe 3.0 x16,40,200 W,https://www.techpowerup.com/gpu-specs/quadro-p600.c2933,0.09860435831963343,0.39924314096499525,0.051346223711298586,0.0055729350758247035,0.0,,,,0.19183758774726972
Radeon R9 295X2,1018,1018,1250,4.0,5,512,2816,176,64,PCIe 3.0 x16,500,900 W,https://www.techpowerup.com/gpu-specs/radeon-r9-295x2.c2523,0.2838154534960999,0.7038789025543992,0.22329517581777178,0.02954160144564967,0.0,101.0,73.0,46.0,0.3461513751298021
Radeon Pro WX 2100,925,1219,1500,2.0,5,64,512,32,16,PCIe 3.0 x8,35,200 W,https://www.techpowerup.com/gpu-specs/radeon-pro-wx-2100.c2979,0.0915124698310539,0.4335099337748345,0.06138739756993501,0.004690068197084528,0.0,,,,0.1693029271060596
GeForce GTX 550 Ti,900,910,1026,1.0,5,192,192,32,24,PCIe 2.0 x16,116,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-550-ti.c274,0.03679736961768513,0.28666035950804164,0.021575909256044884,0.0018594837096643413,0.0,19.0,9.0,5.0,0.14439699499039896
Radeon R9 Fury X,1050,1050,500,4.0,4,4096,4096,256,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-fury-x.c2677,0.3351988527055861,0.7710501419110691,0.36820669358669283,0.04457512619597368,0.0,,,,0.28325951797320126
GeForce GTX 650 Ti,928,928,1350,1.0,5,128,768,64,16,PCIe 3.0 x16,110,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-650-ti.c1188,0.07072650320053167,0.3216650898770104,0.03188955717918701,0.0076051837128775675,0.0,26.0,13.0,8.0,0.1595131983475466
Quadro K2200,1046,1046,1253,4.0,5,128,640,40,16,PCIe 2.0 x16,68,250 W,https://www.techpowerup.com/gpu-specs/quadro-k2200.c2601,0.10619469026548672,0.4484389782403027,0.05586727485568966,0.0076513242352883575,1.0,,,,0.15202307557405825
Quadro GV100,1132,1447,848,32.0,5,4096,5120,320,128,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/quadro-gv100.c3066,0.6005806429046137,0.7388836329233681,0.6623945424454042,0.23174858770677553,0.0,,,,0.4898600431533955
GeForce GTX 660 Ti,915,1028,1502,2.0,5,192,1344,112,24,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-660-ti.c364,0.13508692154325092,0.3680227057710501,0.06013603519961248,0.0093726235450549,0.0,43.0,30.0,13.0,0.20159256529463854
Radeon R9 390X,1050,1100,1500,8.0,5,512,2816,176,64,PCIe 3.0 x16,275,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-390x.c2663,0.3147364370911889,0.737937559129612,0.19859709760690128,0.03325855676791418,0.0,64.0,48.0,28.0,0.25985630414445815
Quadro K2000,954,954,1000,2.0,5,128,384,32,16,PCIe 2.0 x16,51,250 W,https://www.techpowerup.com/gpu-specs/quadro-k2000.c1838,0.037147154499982515,0.29422894985808895,0.01456222500302749,0.003450746465059131,0.0,,,,0.13376974523075916
Quadro P6000,1506,1531,1127,24.0,5,384,3840,240,96,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/quadro-p6000.c2865,0.5353807408443807,0.6745506149479659,0.3229120413353247,0.06275524178062175,2.0,,,,0.4585067351956328
GeForce GTX 670,915,1006,1502,2.0,5,256,1344,112,32,PCIe 3.0 x16,170,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-670.c362,0.16786176501451605,0.4380321665089877,0.061720421426553096,0.014695194071734703,2.0,48.0,34.0,15.0,0.2134395255274352
Vega Frontier Edition,1382,1600,945,16.0,5,2048,4096,256,64,PCIe 3.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/radeon-vega-frontier-edition.c2958,0.527350029731715,0.697814569536424,0.36554095431129635,0.062365920125101976,0.0,,,,0.3848463020487153
Quadro 4000,475,475,702,2.0,5,256,256,32,32,PCIe 2.0 x16,142,300 W,https://www.techpowerup.com/gpu-specs/quadro-4000.c898,0.03441883241806289,0.28949858088930935,0.01665119283090461,0.004197020260210816,0.0,,,,0.10346605270491667
Radeon Pro VII,1400,1700,1000,16.0,5,4096,3840,240,64,PCIe 4.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-pro-vii.c3575,0.5718283255797685,0.6244087038789026,0.49037258305413145,0.053958827750720355,0.0,,,,0.35526567643080686
FirePro W5000,825,825,800,2.0,5,256,768,48,32,PCIe 3.0 x16,75,250 W,https://www.techpowerup.com/gpu-specs/firepro-w5000.c588,0.08923012347406345,0.4985808893093661,0.08506236628587574,0.011772167877750183,0.0,,,,0.1593169548145973
Radeon R9 380X,970,1040,1425,4.0,5,256,2048,128,32,PCIe 3.0 x16,190,450 W,https://www.techpowerup.com/gpu-specs/radeon-r9-380x.c2758,0.19881772709783485,0.5771050141911069,0.19149830381102645,0.023104979442947492,0.0,44.0,32.0,19.0,0.21130318843627516
Quadro FX 1800,550,550,800,0.75,3,192,64,32,12,PCIe 2.0 x16,59,250 W,https://www.techpowerup.com/gpu-specs/quadro-fx-1800.c1323,0.009135331770960854,0.16755912961210975,0.00774934128342868,0.0011512637958708434,0.0,,,,0.06060749263204017
Quadro 2000D,625,625,650,1.0,5,128,192,32,16,PCIe 2.0 x16,62,250 W,https://www.techpowerup.com/gpu-specs/quadro-2000d.c901,0.016929588303193535,0.24976348155156103,0.012493440439187823,0.0014298512578284391,0.0,,,,0.09001739537156886
GeForce GTX 480,701,700,924,1.5,5,384,480,60,48,PCIe 2.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-480.c268,0.12609745006820805,0.36613055818353835,0.05204254632059096,0.012609483327136378,0.0,27.0,18.0,11.0,0.1692238214891832
GeForce FX 5200,250,250,200,0.125,1,128,4,2,4,AGP 8x,40,200 W,https://www.techpowerup.com/gpu-specs/geforce-fx-5200.c60,0.0063492077372416,0.14880321665089877,0.007747529251462481,0.000886324931489244,0.0,,,,0.0
GeForce GT 220,600,625,700,1.0,3,128,48,24,8,PCIe 2.0 x16,58,250 W,https://www.techpowerup.com/gpu-specs/geforce-gt-220.c2246,0.007334639196893915,0.16607379375591297,0.008774394288164889,0.0009462747132187911,0.0,,,,0.06182245590834069
Radeon HD 6770,850,850,1200,1.0,5,128,800,40,16,PCIe 2.0 x16,108,300 W,https://www.techpowerup.com/gpu-specs/radeon-hd-6770.c280,0.025394382454790303,0.239356669820246,0.012634723287450045,0.006606089539084405,0.0,,,,0.13369410503363288
Radeon HD 7950,800,850,1250,3.0,5,384,1792,112,32,PCIe 3.0 x16,200,550 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7950.c307,0.16686347896043935,0.4877010406811731,0.15361482258910908,0.021030400261955125,0.0,44.0,31.0,13.0,0.2037289023857986
Radeon R9 290X,1000,1040,1250,4.0,5,512,2816,176,64,PCIe 3.0 x16,290,600 W,https://www.techpowerup.com/gpu-specs/radeon-r9-290x.c2460,0.28993668893630414,0.6877956480605487,0.2643301174665967,0.03002520859249604,0.0,61.0,45.0,27.0,0.25228201809398165
Quadro M5000,861,1038,1653,8.0,5,256,2048,128,64,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/quadro-m5000.c2756,0.3063066214278219,0.5856196783349101,0.1482460743551447,0.023618041242634426,1.0,,,,0.2857938626499447
GeForce GT 630,810,780,900,1.0,3,128,96,16,4,PCIe 2.0 x16,65,250 W,https://www.techpowerup.com/gpu-specs/geforce-gt-630.c816,0.006226170904893493,0.14001892147587514,0.00904210228878214,0.0006894530921265037,0.0,,,,0.0731210923843691
Radeon HD 7850,860,920,1200,2.0,5,256,1024,64,32,PCIe 3.0 x16,130,300 W,https://www.techpowerup.com/gpu-specs/radeon-hd-7850.c1055,0.11616355941096225,0.46357615894039733,0.061659646906683074,0.01204693771067727,0.0,34.0,23.0,11.0,0.18217131901136535
FirePro W7100,920,824,1250,8.0,5,256,1792,112,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/firepro-w7100.c2610,0.16334954003287977,0.5742667928098393,0.14526904290961934,0.021556988250271192,0.0,,,,0.19058803095254634
GeForce 9800 GTX+,738,738,1100,0.5,3,256,128,64,16,PCIe 2.0 x16,140,300 W,https://www.techpowerup.com/gpu-specs/geforce-9800-gtx.c237,0.0011542901115813783,0.07473982970671714,0.028846225387016956,0.01078220847161718,0.0,,,,0.09233712836576347
GeForce GTX 580,772,772,1002,1.5,5,384,512,64,48,PCIe 2.0 x16,244,550 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-580.c270,0.14106824303053622,0.37464522232734154,0.06301215032495054,0.012585039790558292,0.0,41.0,29.0,13.0,0.19835569091409302
GeForce GTX 680,1006,1006,1502,2.0,5,256,1536,128,32,PCIe 3.0 x16,195,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-680.c342,0.17594179579558572,0.4427625354777673,0.06942033665684413,0.014338540303910807,0.0,51.0,37.0,18.0,0.2231501486690718
Radeon R7 360,1000,1070,1500,2.0,5,128,768,48,16,PCIe 3.0 x16,100,300 W,https://www.techpowerup.com/gpu-specs/radeon-r7-360.c2733,0.0884605967330092,0.41154210028382215,0.10006862309772735,0.007598298209616137,0.0,,,,0.15874328433825902
Radeon Pro Duo Polaris,1243,1243,1750,16.0,5,256,2304,144,32,PCIe 3.0 x16,250,600 W,https://www.techpowerup.com/gpu-specs/radeon-pro-duo-polaris.c2953,0.2886047081045157,0.6706811731315043,0.21218681894975447,0.027465683416800953,0.0,,,,0.2551085646637863
GeForce GTX 560,810,810,1000,1.0,5,256,336,56,32,PCIe 2.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-560.c287,0.0771625450348036,0.3386944181646168,0.03382715052678319,0.0116856783062274,0.0,27.0,13.0,8.0,0.16058136689312663
GeForce GTX 690,915,915,1502,2.0,5,256,1536,128,32,PCIe 3.0 x16,300,700 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-690.c361,0.18010423589492464,0.37653736991485337,0.06482864408832197,0.013852997565592062,0.0,78.0,61.0,31.0,0.29222504794991355
GeForce 210,520,589,400,0.5,3,64,16,8,4,PCIe 2.0 x16,31,200 W,https://www.techpowerup.com/gpu-specs/geforce-210.c2020,0.004407289516947077,0.13371807000946073,0.003498365725862038,0.0007924449197991891,0.0,,,,0.04933681610394758
Quadro K4000,810,810,1404,3.0,5,192,768,64,24,PCIe 2.0 x16,80,250 W,https://www.techpowerup.com/gpu-specs/quadro-k4000.c1841,0.07677778166427647,0.33964049195837276,0.02687401606587817,0.01787937210330702,0.0,,,,0.14363598097804464
GeForce GT 640,513,901,792,0.625,3,320,96,24,20,PCIe 1.0 x16,143,300 W,https://www.techpowerup.com/gpu-specs/geforce-8800-gts-640.c757,0.02368043653153311,0.21286660359508042,0.01490534049166431,0.0008086641052594535,2.0,10.0,5.0,3.0,0.12821262308767128
GeForce 8500 GT,459,450,400,0.25,3,128,16,8,4,PCIe 1.0 x16,30,200 W,https://www.techpowerup.com/gpu-specs/geforce-8500-gt.c765,0.006483525132043793,0.1490964995269631,0.007747529251462481,0.0008285096557707412,0.0,,,,0.032095587166736717
GeForce GTX 650 Ti Boost,980,1072,1502,2.0,5,192,768,64,24,PCIe 3.0 x16,134,300 W,https://www.techpowerup.com/gpu-specs/geforce-gtx-650-ti-boost.c2059,0.11329042638777152,0.4188268684957427,0.08571791324167088,0.008268938576720567,0.0,29.0,17.0,11.0,0.17029199003476322
Radeon R9 270,900,975,1400,2.0,5,256,1280,80,32,PCIe 3.0 x16,150,450 W,https://www.techpowerup.com/gpu-specs/radeon-r9-270.c2458,0.13295323376123686,0.47965941343424784,0.0963549025148347,0.013467233420090671,0.0,32.0,21.0,13.0,0.18000261317639982
FirePro W2100,630,630,900,2.0,3,128,320,20,8,PCIe 3.0 x8,26,200 W,https://www.techpowerup.com/gpu-specs/firepro-w2100.c2612,0.013466717968449404,0.25260170293282874,0.01772090582489,0.0029141285936589104,0.0,,,,0.06991694635998152
