chipset,memory,core_clock,boost_clock,CUDA,Metal,OpenCL,Vulkan,api_score
GeForce GTX 660 Ti,3.0,1032.0,1032.0,4.827563845227434,4.940546369518333,7.238281726463259,10.97585549353396,7.0
Quadro K2000,2.0,,,1.6775430009572925,2.1968727534148096,2.6771985920646815,3.531033526332212,2.52
Quadro P6000,24.0,1417.0,1531.0,18.64745391100269,,25.13760041122863,54.61507471483549,32.8
GeForce GTX 670,2.0,1006.0,1006.0,5.083983108421086,5.385963335729691,7.29564027949607,10.840619907776583,7.15
GeForce GTX 670,4.0,967.0,967.0,5.083983108421086,5.385963335729691,7.29564027949607,10.840619907776583,7.15
Quadro 4000,2.0,,,,,2.7255005314607326,,2.73
Radeon Pro VII,16.0,1400.0,1700.0,,57.0656002875629,39.16241352872501,51.50534271747044,49.24
FirePro W5000,2.0,825.0,825.0,,,6.263617592221506,12.623395624588289,9.44
Quadro 2000D,1.0,625.0,625.0,,,2.3170903831744756,,2.32
GeForce GTX 480,1.5,700.0,700.0,,,6.200652564080224,,6.2
Radeon HD 6770,1.0,,,,,2.3313222046036697,,2.33
Radeon HD 7950,3.0,850.0,850.0,,19.129241552839684,13.22168446914914,,16.18
Radeon R9 290X,4.0,1040.0,1040.0,,,19.494898848211328,34.60020802274382,27.05
Radeon R9 290X,8.0,1030.0,1030.0,,,19.494898848211328,34.60020802274382,27.05
Quadro M5000,8.0,861.0,1038.0,9.897480931352872,,13.003894474550872,24.041535207849392,15.65
GeForce GT 630,2.0,780.0,780.0,1.3955200259395362,1.7194284687275343,2.0660928052414222,2.733349512880075,1.98
GeForce GT 630,1.0,820.0,820.0,1.3955200259395362,1.7194284687275343,2.0660928052414222,2.733349512880075,1.98
GeForce GT 630,4.0,810.0,810.0,1.3955200259395362,1.7194284687275343,2.0660928052414222,2.733349512880075,1.98
FirePro W7100,8.0,824.0,824.0,,,12.288421997246859,18.422736885899525,15.36
GeForce GTX 580,3.0,772.0,772.0,,,7.278389586854623,,7.28
