chipset,memory,core_clock,boost_clock,G3Dmark,G2Dmark,testDate,category
GeForce GT 640,2.0,901.0,901.0,1182,285,2011,Desktop
GeForce GT 640,1.0,,,1182,285,2011,Desktop
GeForce GT 640,4.0,901.0,901.0,1182,285,2011,Desktop
Radeon R9 270,2.0,950.0,975.0,4306,567,2018,Unknown
FirePro W2100,2.0,630.0,630.0,890,327,2014,Workstation
Radeon HD 7770,2.0,1020.0,1020.0,2204,471,2012,Desktop
Radeon HD 7770,1.0,1020.0,1020.0,2204,471,2012,Desktop
Quadro K5000,4.0,706.0,706.0,3901,435,2012,Workstation
FirePro W4100,2.0,630.0,630.0,1541,535,2014,Workstation
GeForce GTX 570,1.25,797.0,797.0,3902,466,2012,Desktop
GeForce GTX 570,2.5,732.0,732.0,3902,466,2012,Desktop
Radeon HD 6670,2.0,800.0,800.0,745,236,2012,Desktop
Radeon HD 6670,1.0,800.0,800.0,745,236,2012,Desktop
GeForce GTX Titan,6.0,876.0,876.0,8556,660,2013,Desktop
Radeon R7 260X,2.0,1050.0,1050.0,3147,506,2013,Desktop
Radeon R7 260X,1.0,1075.0,1075.0,3147,506,2013,Desktop
GeForce GTX 460,1.0,715.0,715.0,2289,381,2012,Desktop
GeForce GTX 460,0.75,700.0,700.0,2289,381,2012,Desktop
GeForce GTX 460,2.0,700.0,700.0,2289,381,2012,Desktop
Quadro K1200,4.0,1058.0,1124.0,2874,575,2015,Workstation
Quadro K600,1.0,876.0,876.0,769,263,2013,Workstation
Radeon R7 250,2.0,1050.0,1100.0,1151,296,2013,Desktop
Radeon R7 250,1.0,1000.0,1000.0,1151,296,2013,Desktop
Radeon R7 250,4.0,1000.0,1050.0,1151,296,2013,Desktop
GeForce GT 720,2.0,797.0,797.0,606,196,2014,Desktop
GeForce GT 720,1.0,797.0,797.0,606,196,2014,Desktop
Radeon R9 280,3.0,850.0,940.0,5668,679,2016,Desktop
Radeon Pro Duo,8.0,1000.0,1000.0,8324,715,2016,Desktop
GeForce GT 740,2.0,1059.0,1059.0,1529,344,2014,Desktop
GeForce GT 740,4.0,1006.0,1006.0,1529,344,2014,Desktop
GeForce GT 740,1.0,1071.0,1071.0,1529,344,2014,Desktop
Radeon Pro WX 8200,8.0,1200.0,1530.0,14110,824,2018,Desktop
Quadro 6000,6.0,,,2689,458,2010,Workstation
GeForce GTS 450,1.0,783.0,783.0,1321,303,2012,Desktop
GeForce GTS 450,2.0,783.0,783.0,1321,303,2012,Desktop
Quadro K420,2.0,876.0,891.0,775,280,2014,Workstation
Quadro K420,1.0,876.0,876.0,775,280,2014,Workstation
FirePro W9000,6.0,975.0,975.0,6138,720,2012,Workstation
Quadro K5200,8.0,667.0,667.0,5780,501,2014,Workstation
Radeon HD 4870,1.0,750.0,750.0,1391,72,2012,Desktop
Radeon HD 4870,0.5,750.0,750.0,1391,72,2012,Desktop
Radeon HD 6950,2.0,800.0,800.0,2650,421,2012,Desktop
Radeon HD 6950,1.0,850.0,850.0,2650,421,2012,Desktop
Radeon HD 7870,2.0,1100.0,1100.0,4661,587,2012,Desktop
FirePro W5100,4.0,930.0,930.0,2957,541,2014,Workstation
GeForce GTX 295,1.75,,,1171,150,2009,Desktop
Radeon HD 6850,1.0,775.0,775.0,1979,425,2012,Desktop
Radeon HD 6850,2.0,775.0,775.0,1979,425,2012,Desktop
Radeon HD 5770,1.0,850.0,850.0,1351,328,2012,Desktop
GeForce GTX 590,3.0,630.0,630.0,3307,470,2011,Desktop
GeForce GTX 470,1.25,607.0,607.0,3147,381,2012,Desktop
GeForce GTS 250,0.5,675.0,675.0,618,91,2012,Desktop
GeForce GTS 250,1.0,675.0,675.0,618,91,2012,Desktop
Quadro 5000,2.5,,,1982,376,2010,Workstation
FirePro V5900,2.0,600.0,600.0,1271,352,2011,Workstation
GeForce 9600 GT,0.5,650.0,650.0,505,60,2011,Desktop
GeForce GTX 285,2.0,,,1550,117,2009,Desktop
Radeon HD 5850,1.0,725.0,725.0,1966,404,2012,Desktop
Radeon HD 5850,2.0,765.0,765.0,1966,404,2012,Desktop
Radeon HD 6970,2.0,890.0,890.0,2863,430,2012,Desktop
Radeon HD 7790,2.0,1075.0,1075.0,3090,459,2013,Desktop
Radeon HD 7790,1.0,1075.0,1075.0,3090,459,2013,Desktop
Quadro K2000D,2.0,,,1614,396,2013,Workstation
FirePro V4900,1.0,800.0,800.0,974,318,2012,Workstation
FirePro W7000,4.0,950.0,950.0,4276,551,2012,Workstation
Radeon R9 285,2.0,965.0,965.0,6680,597,2021,Unknown
FirePro S7000,4.0,950.0,950.0,4166,615,2014,Workstation
Radeon HD 5870,1.0,870.0,870.0,2266,410,2012,Desktop
Radeon HD 5870,2.0,,,2266,410,2012,Desktop
Radeon HD 4850,0.5,625.0,625.0,953,110,2012,Desktop
Radeon HD 4850,1.0,625.0,625.0,953,110,2012,Desktop
Radeon HD 6870,1.0,900.0,900.0,2223,397,2012,Desktop
Radeon HD 6870,2.0,900.0,900.0,2223,397,2012,Desktop
FirePro W8100,8.0,824.0,824.0,7327,759,2014,Workstation
FirePro V7900,2.0,725.0,725.0,2310,324,2011,Workstation
NVS 810,4.0,1020.0,1020.0,1141,313,2016,Unknown
FirePro S9050,12.0,900.0,900.0,4901,369,2020,Unknown
GeForce GTX 275,0.875,,,1401,106,2012,Desktop
GeForce GT 430,1.0,735.0,735.0,603,191,2012,Desktop
GeForce GT 430,2.0,700.0,700.0,603,191,2012,Desktop
GeForce GT 430,0.5,700.0,700.0,603,191,2012,Desktop
GeForce GT 430,4.0,700.0,700.0,603,191,2012,Desktop
Radeon HD 6750,1.0,700.0,700.0,1005,304,2011,Desktop
Radeon HD 5750,1.0,700.0,700.0,1156,336,2012,Desktop
FirePro V3900,1.0,,,662,242,2012,Workstation
Radeon HD 7870 XT,2.0,925.0,925.0,4470,661,2013,Desktop
Radeon R7 250X,2.0,1000.0,1000.0,2269,637,2015,Desktop
Radeon R7 250X,1.0,1000.0,1000.0,2269,637,2015,Desktop
Radeon HD 5670,1.0,775.0,775.0,784,279,2012,Desktop
Radeon HD 5670,0.5,775.0,775.0,784,279,2012,Desktop
Radeon HD 5670,2.0,775.0,775.0,784,279,2012,Desktop
Radeon HD 4830,0.5,575.0,575.0,860,81,2012,Desktop
GeForce GT 440,1.0,810.0,810.0,766,238,2010,Desktop
GeForce GT 440,2.0,810.0,810.0,766,238,2010,Desktop
GeForce GT 440,0.5,810.0,810.0,766,238,2010,Desktop
Radeon HD 4890,1.0,850.0,850.0,1533,103,2012,Desktop
FirePro V5800,1.0,700.0,700.0,1186,339,2016,Unknown
FirePro R5000,2.0,825.0,825.0,2647,625,2016,Unknown
Quadro K4000M,4.0,600.0,600.0,1949,351,2012,Workstation
FirePro W8000,4.0,900.0,900.0,4138,570,2013,Workstation
Radeon HD 5830,1.0,800.0,800.0,1735,382,2012,Desktop
Radeon HD 5970,4.0,850.0,850.0,2249,393,2012,Desktop
