index,name,price,core_count,core_clock,boost_clock,tdp,graphics,smt,codename,socket,lithography,cache,supported_mem,supported_chipset,release_date,passmark,category,passmarkPred,cinebench,cinePred,blender,blenderPred,core_count_spec,boost_clock_spec,cache_spec,tdp_spec
70,Intel Core i9-10900K,341.94,0.14285714285714285,3.7,0.8409090909090907,0.607843137254902,Intel UHD Graphics 630,True,Comet Lake,1200,14,0.07450980392156863,DDR4,"H410, B460, H470, Z490","Apr 30th, 2020",0.509995849,Desktop,False,0.4118525896414342,False,0.4157720321723221,False,10,5.3,20.0,125
71,Intel Core i7-10700F,218.13,0.1111111111111111,2.9,0.7272727272727272,0.8431372549019608,,True,Comet Lake,1200,14,0.058823529411764705,DDR4,,"Apr 30th, 2020",0.3615329152920098,Desktop,False,0.3477755644090305,False,0.2672857192170941,False,8,4.8,16.0,65
72,Intel Core i7-6700K,220.0,0.047619047619047616,4.0,0.5909090909090909,0.7411764705882353,Intel HD Graphics 530,True,Skylake,1151,14,0.027450980392156862,DDR4,,"Aug 1st, 2015",0.1866110249295374,Desktop,False,0.1148738379814076,False,0.153577963,False,4,4.2,8.0,91
73,Intel Core i5-9600K,219.99,0.07936507936507936,3.7,0.6818181818181818,0.7254901960784313,Intel UHD Graphics 630,False,Coffee Lake,1151,14,0.03137254901960784,DDR4,,"Oct 19th, 2018",0.226507024,Desktop,False,0.1608565737051792,False,0.1761020401118437,False,6,4.6,9.0,95
74,AMD Ryzen 5 3400G,121.99,0.047619047619047616,3.7,0.5909090909090909,0.8431372549019608,Radeon Vega 11,True,Picasso,AM4,12,0.011764705882352941,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Jul 7th, 2019",0.1940396338132797,Desktop,False,0.1127158034528552,False,0.1371983844799613,False,4,4.2,4.0,65
75,Intel Core i5-10600K,175.48,0.07936507936507936,4.1,0.7272727272727272,0.607843137254902,Intel UHD Graphics 630,True,Comet Lake,1200,14,0.043137254901960784,DDR4,,"Apr 30th, 2020",0.3082435709759881,Desktop,False,0.2355577689243027,False,0.2442611067002658,False,6,4.8,12.0,125
76,AMD Ryzen 5 2600X,215.0,0.07936507936507936,3.6,0.5909090909090909,0.7254901960784313,,True,Zen,AM4,12,0.058823529411764705,DDR4,"A320, B350, X370, B450, X470, A520, B550, X570","Apr 19th, 2018",0.2977342742904586,Desktop,False,0.196547145,False,0.2120024854154441,False,6,4.2,16.0,95
77,Intel Core i9-10850K,249.63,0.14285714285714285,3.6,0.8181818181818182,0.607843137254902,Intel UHD Graphics 630,True,Comet Lake,1200,14,0.07450980392156863,DDR4,"H410, B460, H470, Z490","Jul 27th, 2020",0.4944176189123642,Desktop,False,0.3828021248339973,True,0.406348165,False,10,5.2,20.0,125
78,AMD Ryzen 3 3100,85.99,0.047619047619047616,3.6,0.5227272727272727,0.8431372549019608,,True,Matisse,AM4,7,0.058823529411764705,DDR4,,"Apr 24th, 2020",0.2454499770587078,Desktop,False,0.1366201859229747,False,0.1511098070351064,False,4,3.9,16.0,65
79,Intel Core i5-11400,144.88,0.07936507936507936,2.6,0.6363636363636364,0.8431372549019608,Intel UHD Graphics 730,True,Rocket Lake,1200,14,0.043137254901960784,DDR4,"H510, B560, H570, Q570, W580, Z590, Q470, H470, W480, Z490","Mar 16th, 2021",0.3650068823876423,Desktop,False,0.2375498007968127,True,0.2476958127653698,False,6,4.4,12.0,65
