name,Blender Score,Number of Benchmarks
Intel Core i5-4670K,54.09,1
Intel Xeon E5-1650,54.02,3
Intel Core i3-9100,53.99,1
Intel Core i5-7600,53.83,1
AMD Ryzen 5 PRO 2400G,53.72,2
Intel Core i5-4690K,53.71,6
Intel Core i5-9300H,53.48,15
Intel Core i7-6770HQ,52.79,1
Intel Core i5-1135G7,52.72,15
Intel Xeon E3-1270 v6,52.54,1
Intel Core i7-4700HQ,52.53,1
Intel Core i3-1125G4,52.5,1
AMD Opteron(tm) 6380,52.1,1
Intel Core i5-9400H,51.97,1
Intel Core i7-870,51.82,17
Intel Core i7-6920HQ,51.54,1
Intel Core i5-8279U,51.44,1
Intel Xeon Gold 6154,51.4,2
Intel Core i7-4810MQ,51.38,2
Intel Core i7-4771,51.07,1
Intel Xeon X5690,50.8,5
Intel Core i7-1195G7,50.68,2
Intel Xeon E3-1220 v3,50.68,1
Intel Core i3-9100F,50.53,5
Intel Xeon E3-1535M v5,50.42,1
AMD FX(tm)-9590,50.39,1
Intel Core i5-8300H,50.16,12
Intel Core i7-7820HQ,49.52,4
Intel Core i5-8265U,49.48,16
8X Virtual,49.31,2
AMD Ryzen 5 7520U,49.23,2
Intel Core i5-6600K,48.91,6
Intel Xeon W3670,48.57,2
Intel Xeon E3-1545M v5,48.22,1
Intel Core i7-6820HK,48.2,2
Intel Core i5-7500,47.49,12
Intel Core i7X 980,47.39,1
Intel Core i7-1065G7,47.28,13
AMD FX-8370,47.18,2
Intel Core i7-1250U,47.14,2
Intel Core i7-4700MQ,47.13,1
Intel Core i5-4590,47.07,6
Intel Core i7-4910MQ,46.55,1
Intel Core i5-4590S,45.67,3
Intel Xeon E5-1620 v2,45.63,2
Intel Core i5-6300HQ,45.55,1
Intel Core i5-6500T,45.52,1
AMD Ryzen 5 2400G,45.38,6
Intel Core i5-4570,45.14,3
Intel Xeon X5650,44.76,1
Intel Core i7-8565U,44.72,1
Intel Core i7-8550U,44.65,35
AMD Ryzen 3 3200G,44.61,10
Intel Core i5-1155G7,44.61,5
Intel Core i7-10710U,44.61,1
Intel Core i5-6500,44.46,4
Intel Core i7-10610U,44.27,1
AMD Ryzen 3 2200G,44.2,8
Intel Core i7-4800MQ,44.13,2
Intel Core i7-920,43.98,3
AMD FX(tm)-8320,43.9,5
Intel Core i5-7400,43.59,9
Intel Core i5-6400,43.52,5
Intel Core i7-3720QM,42.97,1
Intel Core i5-8350U,42.84,6
AMD Ryzen 5 PRO 3500U,42.74,2
Intel Core i7-970,42.61,1
Intel Xeon X5687,42.49,1
Intel Xeon E5620,25.464,1
Intel Core i5-4570S,42.11,2
Intel Core i5-7600T,42.09,2
Intel Core i7-3770K,42.09,7
Intel Core i7-8665U,41.49,1
AMD Ryzen 3 4300U,41.47,1
Intel Core i7-3770,40.56,14
AMD Ryzen 5 3500U with Radeon Vega Mobile Gfx,40.51,10
Intel Core i7-3940XM,40.37,1
Intel Core i3-8100T,39.91,2
Intel Core i5-1035G4,39.76,4
Intel Xeon X3470,39.55,1
Intel Core i3-6100,39.48,2
Intel Core i5-1035G1,39.44,6
Intel Core i7-4820K,39.42,3
AMD Ryzen 7 3700U with Radeon Vega Mobile Gfx,39.38,1
Intel Core i5-10210U,39.38,5
Intel Core i5-4440,39.22,6
Intel Core i5-7300HQ,39.19,5
Intel Core i5-4670,39.18,1
Intel Core i3-7320,39.05,1
Intel Core i5-8250U,38.99,26
Intel Core i7-2600K,38.92,6
AMD Ryzen 3 PRO 5475U,38.9,1
Intel Core i7-8650U,38.41,10
Intel Core i7-4702MQ,37.62,1
Intel Core i5-4440S,37.57,1
AMD Ryzen 3 PRO 5450U,37.56,1
Intel Core i7-7660U,37.46,1
Intel Core i7-3840QM,37.4,3
AMD FX(tm)-8350,37.34,6
Intel Core i5-4460,37.33,3
AMD Ryzen 3 7320U,37.21,5
AMD Ryzen 3 3300U with Radeon Vega Mobile Gfx,37.07,1
Intel Xeon E31270,36.86,1
AMD Ryzen 5 2500U with Radeon Vega Mobile Gfx,36.81,11
AMD FX-8320E,36.76,1
Intel Core i3-4330,36.41,1
QEMU Virtual version 2.5+,36.18,1
